Timestamp,Enter industry/university affiliation,What area of study within computer science do you focus in?,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5
3/11/2024 18:25:28,BITS Pilani KK Birla Goa Campus,Machine Learning,"Neural Tangent Kernel: Convergence and Generalization in Neural Networks Arthur Jacot, Franck Gabriel, Clément Hongler, 2019","Understanding deep learning requires rethinking generalization Chiyuan Zhang, Samy Bengio, Moritz Hardt, Benjamin Recht, Oriol Vinyals,2019","A Spline Theory of Deep Networks,Randall Balestriero Richard G. Baraniuk,,2019","A Simple Framework for Contrastive Learning of Visual Representations Ting Chen, Simon Kornblith, Mohammad Norouzi, Geoffrey Hinton, 2020","Bootstrap your own latent: A new approach to self-supervised Learning Jean-Bastien Grill, Florian Strub, Florent Altché, Corentin Tallec, Pierre H. Richemond, Elena Buchatskaya, Carl Doersch, Bernardo Avila Pires, Zhaohan Daniel Guo, Mohammad Gheshlaghi Azar, Bilal Piot, Koray Kavukcuoglu, Rémi Munos, Michal Valko,2020","Deep Residual Learning for Image Recognition Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun,2015",,,,
3/12/2024 1:27:21,university of bristol,Human computer interaction,"Baudisch, P., & Mueller, S. (2016, May). Personal fabrication: State of the art and future research. In Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems (pp. 936-939).","Raffaele Chiocchetti, Diego Perino, Giovanna Carofiglio, Dario Rossi, and Giuseppe Rossini. 2013. INFORM: a dynamic interest forwarding mechanism for information centric networking. In Proceedings of the 3rd ACM SIGCOMM workshop on Information-centric networking (ICN '13). Association for Computing Machinery, New York, NY, USA, 9–14. https://doi.org/10.1145/2491224.2491227","Jürgen Steimle. 2015. Printed electronics for human-computer interaction. interactions 22, 3 (May - June 2015), 72–75. https://doi.org/10.1145/2754304",Silicone Devices: A Scalable DIY Approach for Fabricating Self-Contained Multi-Layered Soft Circuits using Microfluidics,Capricate: A Fabrication Pipeline to Design and 3D Print Capacitive Touch Sensors for Interactive Objects,Project Jacquard: Interactive Digital Textiles at Scale,"HCI meets Material Science: A Literature Review of Morphing Materials for the Design of Shape-Changing Interfaces
Isabel Qamar, Rainer Groh, David Holman, Anne Roudaut
In Proceedings of CHI'18. 2018",Modular and deformable touch-sensitive surfaces based on time domain reflectometry,Level-Ups: Motorized Stilts that Simulate Stair Steps in Virtual Reality,KidCAD: digitally remixing toys through tangible tools
3/12/2024 4:07:24,univesity,Vision and graphics,"A New Full Field Digital Mammography Database for Breast Cancer AI-CAD Researches; Otmani Imane , Amroune Mohamed , Rahmani Foued Lazhar , Soltani Hama , Benkhelifa Elhadj, Aura Conci;  2024; https://doi.org/10.1016/j.bspc.2023.105823","Utilizing Infrared Thermography for Assessing Breast Cancer Treatment Progression; A S Araujo, M Issa, A Sanchez, D C Muchaluat-Saade, A Conci; 2023; DOI: 10.1109/IWSSIP58668.2023.10180273","A Lightweight Segmentation Method for Mandibular Canal Based on Arch Shape and Hough Transform; M Moran, L Oliveira, M Faria, L Bastos, G Giraldi, J F Nogueira Neto, A Conci, 2023; https://ieeexplore.ieee.org/document/10337149","Fault Classification on Melamine Faced Panels Using Local Binary Pattern; F P G Sa, C Aguilera, C A Aguilera, A Conci; 2022; https://ieeexplore.ieee.org/document/9991803",Radiomics for Breast IR-Imaging Classification; M Baffa and  A. Conci; 2022; https://doi.org/10.1007/978-3-031-19660-7_2,"Multivariate data driven prediction of COVID-19 dynamics: Towards new results with temperature, humidity and air quality data; D P Aragao et al; 2021; https://doi.org/10.1016/j.envres.2021.112348",U-Net Convolutional Neural Networks for Breast IR Imaging Segmentation on Frontal and Lateral View; E C Carvalho et al; 2022; Computer Methods in Biomechanics and Biomedical Engineering: Imaging & Visualization,Heuristic-based approaches for fracture detection in borehole images; M B H Moran et al; 2021; International Journal of Innovative Computing and Applications IJICA,Pulmonary COVID-19: Learning Spatiotemporal Features Combining CNN and LSTM Networks for Lung Ultrasound Video Classification; B Barros et al; 2021; Sensor; https://www.mdpi.com/1424-8220/21/16/5486,Application of thermography in the diagnostic investigation of thyroid nodules; C Damiao et al; 2020; Endocrine Journal; DOI: 10.1507/endocrj.EJ20-0541
3/12/2024 19:03:41,Kansas State University,Machine Learning,"Generative adversarial networks, Ian, Jean Pouget-Abadie, Mehdi Mirza, Bing Xu, David Warde-Farley, Sherjil Ozair, Aaron Courville, and Yoshua Bengio, 2020",,,,,"Generative adversarial networks, Ian Goodfellow, Jean Pouget-Abadie, Mehdi Mirza, Bing Xu, David Warde-Farley, Sherjil Ozair, Aaron Courville, Yoshua Bengio, 2014",,,,
3/13/2024 9:57:17,Rochester Institute of Technology,Cybersecurity,Port Contention for Fun and Profit; Aldaya; 2019,An Efficient Key Recovery Attack on SIDH; Castryck; 2022,Breaking Rainbow Takes a Weekend on a Laptop; Beullens; 2022,HyperDegrade: From GHz to MHz Effective CPU Frequencies; Aldaya; 2022,Let's Encrypt: An Automated Certificate Authority to Encrypt the Entire Web; Aas; 2019,Meltdown: Reading Kernel Memory from User Space; Lipp; 2018,Spectre Attacks: Exploiting Speculative Execution; Kocher; 2018,Amplifying Side Channels Through Performance Degradation; Allan; 2016,Make Sure DSA Signing Exponentiations Really are Constant-Time; Pereida García; 2016,"FLUSH+RELOAD: A High Resolution, Low Noise, L3 Cache Side-Channel Attack; Yarom; 2014"
3/13/2024 20:50:01,Monash University,Theoretical Computer Science.,"You've lost me already!  Why is Theory not in your main list of areas of Computer Science?  It's where Computer Science started, in the 1930s!",,,,,See above.,,,,
3/13/2024 23:47:27,"University of California, Berkeley",Cybersecurity,Towards Deep Learning Models Resistant to Adversarial Attacks; Aleksander Madry et al; 2018,Universal and Transferable Adversarial Attacks on Aligned Language Models; Andy Zou et al; 2023 ,Spectre Attacks: Exploiting Speculative Execution; Paul Kocher et al; 2018,Poisoning the Unlabeled Dataset of Semi-Supervised Learning; Nicholas Carlini; 2021,AI/ML for Network Security: The Emperor has no Clothes; Arthur Jacobs et al; 2022,Driller: Augmenting Fuzzing Through Selective Symbolic Execution; Nick Stephens et al; 2016,Control Flow Integrity for COTS Binaries; Mingwei Zhang et al; 2013,Explaining and Harnessing Adversarial Examples; Ian J. Goodfellow et al; 2014,Transferability in Machine Learning: from Phenomena to Black-Box Attacks using Adversarial Samples; Nicolas Papernot et al; 2016,Delving into Transferable Adversarial Examples and Black-box Attacks; Yanpei Liu et al; 2017
3/14/2024 7:39:00,Kyungpook National University,Program Analysis,"""Synthesizing input grammars"": a replication study; Bachir Bendrissou, Rahul Gopinath, Andreas Zeller; 2022","Smart Greybox Fuzzing; Van-Thuan Pham, Marcel Böhme, Andrew E. Santosa, Alexandru R. Căciulescu, and Abhik Roychoudhury; 2019","The Art, Science, and Engineering of Fuzzing: A Survey; Valentin J.M. Manes, HyungSeok Han, Choongwoo Han, Sang Kil Cha, Manuel Egele, ` Edward J. Schwartz, and Maverick Woo, 2019","Semantic Debugging; Martin Eberlein, Marius Smytzek, Dominic Steinhöfel, Lars Grunske, Andreas Zeller; 2023","One fuzzing strategy to rule them all; Mingyuan Wu, Ling Jiang, Jiahong Xiang, Yanwei Huang, Heming Cui, Lingming Zhang, and Yuqun Zhang; 2022",STADS: Software Testing as Species Discovery; Marcel Böhme; 2018,"Caramel: detecting and fixing performance problems that have non-intrusive fixes; Adrian Nistor, Author PicturePo-Chun Chang, PictureCosmin Radoi, PictureShan Lu; 2015","Defects4J: A Database of Existing Faults to Enable Controlled Testing Studies for Java Programs; René Just, Darioush Jalali, Michael D. Ernst; 2014","A Convolutional Attention Network for Extreme Summarization of Source Code; Miltiadis Allamanis, Hao Peng, Charles Sutton; 2016","AndroZoo: collecting millions of Android apps for the research community; Kevin Allix, Tegawendé F. Bissyandé, Jacques Klein, and Yves Le Traon; 2016"
3/18/2024 11:55:26,UC Riverside,Parallel Computing,"Efficient Stepping Algorithms and Implementations for Parallel Shortest Paths Xiaojun Dong, Yan Gu, Yihan Sun, and Yunming Zhang. SPAA 2021.","Theoretically efficient parallel graph algorithms can be fast and scalable L Dhulipala, GE Blelloch, J Shun. SPAA 2019.","Parallel batch-dynamic algorithms for k-core decomposition and related graph problems QC Liu, J Shi, S Yu, L Dhulipala, J Shun. SPAA 2022.","Pac-trees: Supporting parallel and compressed purely-functional collections L Dhulipala, GE Blelloch, Y Gu, Y Sun. PLDI 2022.","ParlayANN: Scalable and Deterministic Parallel Graph-Based Approximate Nearest Neighbor Search Algorithms MD Manohar, Z Shen, G Blelloch, L Dhulipala, Y Gu, HV Simhadri, Y Sun. PPoPP 2024.","Just join for parallel ordered sets GE Blelloch, D Ferizovic, Y Sun. SPAA 2016.","Parallelism in Randomized Incremental Algorithms. GE Blelloch, Y Gu, J Shun, Y Sun. SPAA 2016.","Julienne: A framework for parallel graph algorithms using work-efficient bucketing L Dhulipala, G Blelloch, J Shun. SPAA 2017.","Ligra: a lightweight graph processing framework for shared memory. J Shun, GE Blelloch. PPoPP 2013.",
3/18/2024 12:35:57,University of Louisiana at Lafayette,Cybersecurity,"Injected and Delivered: Fabricating Implicit Control over Actuation Systems by Spoofing Inertial Sensors;Yazhou Tu, Zhiqiang Lin, Insup Lee, Xiali Hei;2018 ","Transduction shield: A low-complexity method to detect and correct the effects of emi injection attacks on sensors; Yazhou Tu, Vijay Srinivas Tida, Zhongqi Pan, Xiali Hei; 2021","Trick or heat? Manipulating critical temperature-based control systems using rectification attacks; Yazhou Tu, Sara Rampazzi, Bin Hao, Angel Rodriguez, Kevin Fu, Xiali Hei; 2019","WALNUT: Waging doubt on the integrity of MEMS accelerometers with acoustic injection attacks;Timothy Trippel, Ofir Weisse, Wenyuan Xu, Peter Honeyman, Kevin Fu; 2017","An Object Detection based Solver for {Google’s} Image {reCAPTCHA} v2; Md Imran Hossen, Yazhou Tu, Md Fazle Rabby, Md Nazmul Islam, Hui Cao, Xiali Hei; 2020","Pacemakers and implantable cardiac defibrillators: Software radio attacks and zero-power defenses; Daniel Halperin, Thomas S Heydt-Benjamin, Benjamin Ransford, Shane S Clark, Benessa Defend, Will Morgan, Kevin Fu, Tadayoshi Kohno, William H Maisel; 2008","Defending resource depletion attacks on implantable medical devices; Xiali Hei, Xiaojiang Du, Jie Wu, Fei Hu; 2010","Patient infusion pattern based access control schemes for wireless insulin pump system;Xiali Hei, Xiaojiang Du, Shan Lin, Insup Lee, Oleg Sokolsky;2014","Voiceprint-based access control for wireless insulin pump systems; Bin Hao, Xiali Hei, Yazhou Tu, Xiaojiang Du, Jie Wu; 2018","Rocking Drones with Intentional Sound Noise on Gyroscopic Sensors; Yunmok Son, Hocheol Shin, Dongkwan Kim, Youngseok Park, Juhwan Noh, Kibum Choi, Jungwoo Choi, and Yongdae Kim; 2015"
