Index,University,Artificial intelligence,Computer systems and networks,Cybersecurity,Databases and data mining,Digital Libraries,Human computer interaction,Machine Learning,Medical Image Computing,Natural Language Processing,Parallel Computing,Program Analysis,Programming Languages,Programming languages and verification,Vision and graphics
1,EPFL,,,,,,,1.0,,,,,,,
2,Google Brain,,,,,,,0.525,,,,,,,
3,University of California,,,,,,,0.4,,,1.1785714285714284,,,,
4,DeepMind,,,,,,,1.1999999999999995,,,,,,,
5,Google Research,,,,,,,0.9999999999999999,,,,,,,
6,Hasso Plattner Institute,,,,,,1.0,,,,,,,,
7,Bell Labs,,,,,,0.6000000000000001,,,,,,,,
8,Telecom ParisTech,,,,,,0.4,,,,,,,,
9,Max Planck Institute for Informatics and Saarland University,,,,,,1.0,,,,,,,,
10,Hasselt University,,,,,,0.5,,,,,,,,
11,Hasselt University-tUL-imec,,,,,,0.25,,,,,,,,
12,Hasselt University - tUL - Flanders Make,,,,,,0.25,,,,,,,,
13,Technische Universität Darmstadt,,,,,,0.8333333333333333,,,,,,,,
14,Max Planck Institute for Informatics,,,,,,0.16666666666666666,,,,,,,,
15,UFF,,,,,,,,,,,,,,0.16666666666666666
16,Institute of Computing,,,,,,,,,,,,,,0.6000000000000001
17,Faculty of Medicine,,,,,,,,,,,,,,0.2
18,Rey Juan Carlos University,,,,,,,,,,,,,,0.2
19,Universidade Federal Fluminense,,,,,,,,,,,,,,0.2857142857142857
20,Universidade do Estado do Rio de Janeiro,,,,,,,,,,,,,,0.5714285714285714
21,Lab. Nacional de Comp. Cientifica,,,,,,,,,,,,,,0.14285714285714285
22,Institute of Computing (IC),,,,,,,,,,,,,,0.5
23,University of B&#x00ED;o-B&#x00ED;o,,,,,,,,,,,,,,0.25
24,University of Lagos,,,,,,,,,,,,,,0.25
25,Université de Montréal,,,,,,,0.875,,,,,,,
26,Let's Encrypt,,,0.08333333333333333,,,,,,,,,,,
27,Cisco,,,0.08333333333333333,,,,,,,,,,,
28,Stanford University,0.25,,0.25,,,,,,,,,,,
29,Electronic Frontier Foundation,,,0.3333333333333333,,,,,,,,,,,
30,University of Michigan,,,0.8666666666666667,,,,,,,,,,,
31,Mozilla,,,0.08333333333333333,,,,,,,,,,,
32,San Jose State University,,,1.0,,,,,,,,,,,
33,CISPA,,,,,,,,,,,1.0,,,
34,National University of Singapore,,,,,,,,,,,1.0,,,
35,KAIST,,,,,,,,,,,0.14285714285714285,,,
36,Boston University,,,,,,,,,,,0.14285714285714285,,,
37,Goldsmiths University of London,,,,,,,,,,,0.14285714285714285,,,
38,Humboldt University of Berlin,,,,,,,,,,,0.2,,,
39,CISPA Helmholtz Center,,,,,,,,,,,0.2,,,
40,Southern University of Science and Technology,,,,,,,,,,,0.5714285714285714,,,
41,Zhejiang University,,,0.2,,,,,,,,0.14285714285714285,,,
42,The University of Hong Kong,,,,,,,,,,,0.14285714285714285,,,
43,University of Illinois,,,,,,,,,,,0.14285714285714285,,,
44,Massachusetts Institute of Technology,,,,,,,,,,0.25,,,,
45,Carnegie Mellon University,,,,,,,,,,1.2023809523809523,,,,
46,MIT CSAIL,,,,0.9999999999999999,,,,,,0.9333333333333333,,,,
47,Northwestern University,0.14285714285714285,1.0,,,,,,,,0.2,,,,
48,University of Maryland,,,,,,,,,,0.5928571428571429,,,,
49,University of California at Riverside,,,,,,,,,,0.5,,,,
50,Microsoft Research Lab India,,,,,,,,,,0.14285714285714285,,,,
51,Safran Electronics &#x0026; Defense,,,1.0,,,,,,,,,,,
52,University of Louisiana at Lafayette,,,1.5000000000000002,,,,,,,,,,,
53,University of Louisiana - Lafayette,,,0.16666666666666666,,,,,,,,,,,
54,MPI-SWS,,,,,,,,,,,,,1.916666666666667,
55,LRI,,,,,,,,,,,,,0.25,
56,Radboud University Nijmegen,,,,,,,,,,,,,0.16666666666666666,
57,University of Cambridge,,,,,,,,,,,,,0.16666666666666666,
58,Université Paris-Saclay - CNRS - ENS Paris-Saclay - Inria,,,,,,,,,,,,,0.16666666666666666,
59,Saarland University,,,,,,,,,,,,,0.16666666666666666,
60,Aarhus University,,,,,,,,,,,,,0.16666666666666666,
61,Microsoft Research,,,,,,,,,,,,,0.2,
62,Seoul National University,,,,,,,,,,,,,0.4,
63,University of Utah,,,,,,,,,,,,,0.4,
64,MBZUAI,0.3333333333333333,,,,,,,,,,,,,
65,Peking University,,3.1071428571428563,,,,,,,,,,,,
66,Stony Brook University,,0.14285714285714285,,,,,,,,,,,,
67,Key Laboratory of High Confidence Software Technologies (Peking University),,0.5,,,,,,,,,,,,
68,School of Computer and Information Technology,,0.25,,,,,,,,,,,,
69,University of Texas at Austin,,0.5,,,,,,,,,,,,
70,Georgia Institute of Technology,,0.3333333333333333,,,,,,,,,,,,
71,Pennsylvania State University,,0.16666666666666666,,,,,,,,,,,,
72,Cornell University,,1.0000000000000002,,,,,,,,,,,,
73,University of Gavle,,1.0,,,,,,,,,,,,
74,Department of Computer Science and Engineering,,,,,,,,1.0,,,,,,
75,University of Salzburg,,,,,,,,0.16666666666666666,,,,,,
76,University of North Carolina,,,,,,,,0.16666666666666666,,,,,,
77,Nanyang Technological University,,,,,,1.0,,,,,,,,
78,Aarhus University in Aarhus,,,,,,1.0,,,,,,,,
79,City University of London,,,,,,1.0,,,,,,,,
80,Northeastern University,,,,,,1.0,,,,,,,,
81,University of Southern California,0.14285714285714285,,,,,,,,,,,,,
82,University of Washington,0.14285714285714285,,,,,,,,,,,,,
83,The Ohio State University,0.25,,,,,,,,,,,,,
84,Uppsala University,0.25,,,,,,,,,,,,,
85,Charles University,0.25,,,,,,,,,,,,,
86,Lucerne University of Applied Sciences,,,,,0.3333333333333333,,,,,,,,,
87,L3S Research Center,,,,,0.3333333333333333,,,,,,,,,
88,TIB - Leibniz Information Centre for Science and Technology,,,,,0.3333333333333333,,,,,,,,,
89,Los Alamos National Lab. (LANL),,,,,0.4,,,,,,,,,
90,National and University Library in Zagreb (Croatia),,,,,0.4,,,,,,,,,
91,University of Zagreb University Computing Centre (Croatia),,,,,0.2,,,,,,,,,
92,Kyoto University,,,,,0.4,,,,,,,,,
93,University of Innsbruck,,,,,0.2,,,,,,,,,
94,AIST,,,,,0.2,,,,,,,,,
95,LIAAD - INESCTEC,,,,,0.2,,,,,,,,,
96,Shizuoka University,,,,,0.5,,,,,,,,,
97,University of Hyogo,,,,,0.5,,,,,,,,,
98,Toshiba Research and Development Center (Japan),,,,0.5,,,,,,,,,,
99,Toshiba Yanazicho Works (Japan),,,,0.5,,,,,,,,,,
100,Stanford,,,,0.375,,,,,,,,,,
101,MIT,,,,0.5,,,,,,,,,,
102,Google,,,,0.0625,,,,,,,,0.3333333333333333,,
103,VMware,,,,0.0625,,,,,,,,,,
104,University of Technology Sydney,,,,,,,,,0.16666666666666666,,,,,
105,Australian National University,,,,,,,,,,,,0.6666666666666666,,
