Title,Authors,Venue,Year,URL
"IEEE/CVF Conference on Computer Vision and Pattern Recognition, CVPR 2024, Seattle, WA, USA, June 16-22, 2024",,CVPR,2024,https://doi.org/10.1109/CVPR52733.2024
"IEEE/CVF Conference on Computer Vision and Pattern Recognition, CVPR 2024 - Workshops, Seattle, WA, USA, June 17-18, 2024",,CVPR Workshops,2024,https://doi.org/10.1109/CVPRW63382.2024
Second Edition FRCSyn Challenge at CVPR 2024: Face Recognition Challenge in the Era of Synthetic Data.,"Ivan DeAndres-Tame, Ruben Tolosana, Pietro Melzi, Rubén Vera-Rodríguez, Minchul Kim, Christian Rathgeb, Xiaoming Liu 0002, Aythami Morales, Julian Fiérrez, Javier Ortega-Garcia, Zhizhou Zhong, Yuge Huang, Yuxi Mi, Shouhong Ding, Shuigeng Zhou, Shuai He, Lingzhi Fu, Heng Cong, Rongyu Zhang, Zhihong Xiao, Evgeny Smirnov, Anton Pimenov, Aleksei Grigorev, Denis Timoshenko, Kaleb Mesfin Asfaw, Cheng-Yaw Low, Hao Liu, Chuyi Wang, Qing Zuo, Zhixiang He, Hatef Otroshi-Shahreza, Anjith George, Alexander Unnervik, Parsa Rahimi, Sébastien Marcel, Pedro C. Neto, Marco Huber, Jan Niklas Kolf, Naser Damer, Fadi Boutros, Jaime S. Cardoso 0001, Ana Filipa Sequeira, Andrea Atzori, Gianni Fenu, Mirko Marras, Vitomir Struc, Jiang Yu, Zhangjie Li, Jichun Li, Weisong Zhao, Zhen Lei 0001, Xiangyu Zhu 0001, Xiao-Yu Zhang, Bernardo Biesseck, Pedro Vidal 0001, Luiz Coelho, Roger Granada, David Menotti",CVPR Workshops,2024,https://doi.org/10.1109/CVPRW63382.2024.00323
Technical Report of NICE Challenge at CVPR 2024: Caption Re-ranking Evaluation Using Ensembled CLIP and Consensus Scores.,"Kiyoon Jeong, Woojun Lee, Woongchan Nam, Minjeong Ma, Pilsung Kang 0001",CVPR Workshops,2024,https://doi.org/10.1109/CVPRW63382.2024.00732
MIPI 2024 Challenge on Few-shot RAW Image Denoising: Methods and Results.,"Xin Jin 0005, Chunle Guo, Xiaoming Li 0002, Zongsheng Yue, Chongyi Li, Shangchen Zhou, Ruicheng Feng, Yuekun Dai, Peiqing Yang, Chen Change Loy, Ruoqi Li, Chang Liu 0030, Ziyi Wang 0006, Yao Du, Jingjing Yang, Long Bao, Heng Sun, Xiangyu Kong, Xiaoxia Xing, Jinlong Wu, Yuanyang Xue, Hyunhee Park, Sejun Song, Changho Kim, Jingfan Tan, Wenhan Luo, Zikun Liu, Mingde Qiao, Junjun Jiang, Kui Jiang, Yao Xiao, Chuyang Sun, Jinhui Hu, Weijian Ruan, Yubo Dong, Kai Chen 0026, Hyejeong Jo, Jiahao Qin, Bingjie Han, Pinle Qin, Rui Chai, Pengyuan Wang",CVPR Workshops,2024,https://doi.org/10.1109/CVPRW63382.2024.00122
NTIRE 2024 Dense and Non-Homogeneous Dehazing Challenge Report.,"Codruta O. Ancuti, Cosmin Ancuti, Florin-Alexandru Vasluianu, Radu Timofte, Yidi Liu, Xingbo Wang, Yurui Zhu, Gege Shi, Xin Lu 0006, Xueyang Fu, Zheng-Jun Zha, Wei Dong 0010, Han Zhou 0003, Ruiyi Wang, Xiaohong Liu 0001, Guangtao Zhai, Jun Chen 0005, Wei Song, Yichang Gao, Jiahao Xiong, Hualiang Lin, Xianger Li, Dong Li, Mohab Kishawy, Ruibin Li, Seyed Amirreza Mousavi, Rana Rauf, Yangyi Liu, Huan Liu 0014, Mingsheng Tu, Kele Xu, JiaWen Chen, Qisheng Xu, Tao Sun, Jin Guo, Ben Shao, Tianli Liu, Mohao Wu, Xingzhuo Yan, Minghan Fu, Lehan Yang, Xin Lin, Lu Qi, Jincen Song, Xiaoqian Hu, Linwei Tao, Hongming Chen 0004, Xiang Chen 0015, Chuanlong Xie, Zhao Zhang 0001, Junhu Wang, Yanyan Wei, Suiyi Zhao, Shengeng Tang, Sampada Malagi, Amogh Joshi 0001, Nikhil Akalwadi, Chaitra Desai, Ramesh Ashok Tabib, Uma Mudenagudi, Wenjing Jiang, Jagadeesh Kalyanshetti, Vijayalaxmi Ashok Aralikatti, Palani Yashaswini, Nitish Upasi, Dikshit Hegde, Ujwala Patil, Sujata C",CVPR Workshops,2024,https://doi.org/10.1109/CVPRW63382.2024.00646
Deep Portrait Quality Assessment. A NTIRE 2024 Challenge Survey.,"Nicolas Chahine, Marcos V. Conde, Daniela Carfora, Gabriel Pacianotto, Benoit Pochon, Sira Ferradans, Radu Timofte, Zhichao Duan, Xinrui Xu, Yipo Huang, Quan Yuan, Xiangfei Sheng, Zhichao Yang 0013, Leida Li, Haotian Fan, Fangyuan Kong, Yifang Xu, Wei Sun 0029, Weixia Zhang, Yanwei Jiang, Haoning Wu 0001, Zicheng Zhang, Jun Jia, Yingjie Zhou, Zhongpeng Ji, Xiongkuo Min, Weisi Lin, Guangtao Zhai, Xiaoqi Wang, Junqi Liu, Zixi Guo, Yun Zhang 0002, Zewen Chen, Wen Wang, Juan Wang, Bing Li 0024, Zhichao Duan, Xinrui Xu, Yipo Huang, Quan Yuan, Xiangfei Sheng, Zhichao Yang 0013, Leida Li, Haotian Fan, Fangyuan Kong, Yifang Xu, Wei Sun 0029, Weixia Zhang, Yanwei Jiang, Haoning Wu 0001, Zicheng Zhang, Jun Jia, Yingjie Zhou, Zhongpeng Ji, Xiongkuo Min, Weisi Lin, Guangtao Zhai, Zewen Chen, Wen Wang, Juan Wang, Bing Li 0024, Xiaoqi Wang, Junqi Liu, Zixi Guo, Yun Zhang 0002",CVPR Workshops,2024,https://doi.org/10.1109/CVPRW63382.2024.00667
NTIRE 2024 Challenge on Image Super-Resolution (×4): Methods and Results.,"Zheng Chen 0014, Zongwei Wu, Eduard Zamfir, Kai Zhang 0008, Yulun Zhang 0001, Radu Timofte, Xiaokang Yang, Hongyuan Yu, Cheng Wan 0006, Yuxin Hong, Zhijuan Huang, Yajun Zou, Yuan Huang, Jiamin Lin, Bingnan Han, Xianyu Guan, Yongsheng Yu, Daoan Zhang, Xuanwu Yin, Kunlong Zuo, Jinhua Hao, Kai Zhao, Kun Yuan, Ming Sun 0008, Chao Zhou 0003, Hongyu An, Xinfeng Zhang 0002, Zhiyuan Song, Ziyue Dong, Qing Zhao, Xiaogang Xu, Pengxu Wei, Zhi-Chao Dou, Gui-Ling Wang, Chih-Chung Hsu, Chia-Ming Lee, Yi-Shiuan Chou, Cansu Korkmaz, A. Murat Tekalp, Yubin Wei, Xiaole Yan, Binren Li, Haonan Chen, Siqi Zhang, Sihan Chen, Amogh Joshi 0001, Nikhil Akalwadi, Sampada Malagi, Palani Yashaswini, Chaitra Desai, Ramesh Ashok Tabib, Ujwala Patil, Uma Mudenagudi, Anjali Sarvaiya, Pooja Choksy, Jagrit Joshi, Shubh Kawa, Kishor P. Upla, Sushrut Patwardhan, Raghavendra Ramachandra, Sadat Hossain, Geongi Park, S. M. Nadim Uddin, Hao Xu, Yanhui Guo, Aman Urumbekov, Xingzhuo Yan, Wei Hao, Minghan Fu, Isaac Orais, Samuel Smith, Ying Liu, Wangwang Jia, Qisheng Xu, Kele Xu, Weijun Yuan, Zhan Li 0004, Wenqing Kuang, Ruijin Guan, Ruting Deng, Zhao Zhang 0001, Bo Wang 0011, Suiyi Zhao, Yan Luo, Yanyan Wei, Asif Hussain Khan, Christian Micheloni, Niki Martinel",CVPR Workshops,2024,https://doi.org/10.1109/CVPRW63382.2024.00617
Real-Time 4K Super-Resolution of Compressed AVIF Images. AIS 2024 Challenge Survey.,"Marcos V. Conde, Zhijun Lei, Wen Li, Ioannis Katsavounidis, Radu Timofte, Min Yan, Xin Liu, Qian Wang, Xiaoqian Ye, Zhan Du, Tiansen Zhang, Zhiyuan Li, Hao Wei 0005, Chenyang Ge, Jiangtao Lv, Long Sun, Jinshan Pan, Jiangxin Dong, Jinhui Tang 0001, Menghan Zhou, Yiqiang Yan, Kihwan Yoon, Ganzorig Gankhuyag, Jae-Hyeon Lee, Ui-Jin Choi, Hyeon-Cheol Moon, Tae Hyun Jeong, Yoonmo Yang, Jae-Gon Kim, Jinwoo Jeong, Sunjei Kim, Xintao Qiu, Yuanbo Zhou, Kongxian Wu, Xinwei Dai, Hui Tang, Wei Deng, Qingquan Gao, Tong Tong 0001, Long Peng, Jiaming Guo, Xin Di, Bohao Liao, Zhibo Du, Peize Xia, Renjing Pei, Yang Wang, Yang Cao, Zhengjun Zha, Bingnan Han, Hongyuan Yu, Zhuoyuan Wu, Cheng Wan 0006, Yuqing Liu, Haodong Yu, Jizhe Li, Zhijuan Huang, Yuan Huang, Yajun Zou, Xianyu Guan, Qi Jia, Heng Zhang, Xuanwu Yin, Kunlong Zuo, Dongyang Zhang 0002, Tianle Liu, Huaian Chen, Yi Jin 0002",CVPR Workshops,2024,https://doi.org/10.1109/CVPRW63382.2024.00592
Deep RAW Image Super-Resolution. A NTIRE 2024 Challenge Survey.,"Marcos V. Conde, Florin-Alexandru Vasluianu, Radu Timofte, Jianxing Zhang, Jia Li 0044, Fan Wang 0005, Xiaopeng Li, Zikun Liu, Hyunhee Park, Sejun Song, Changho Kim, Zhijuan Huang, Hongyuan Yu, Cheng Wan 0006, Wending Xiang, Jiamin Lin, Hang Zhong, Qiaosong Zhang, Yue Sun, Xuanwu Yin, Kunlong Zuo, Senyan Xu, Siyuan Jiang, Zhijing Sun, Jiaying Zhu, Liangyan Li, Ke Chen, Yunzhe Li, Yimo Ning, Guanhua Zhao, Jun Chen 0005, Jinyang Yu, Kele Xu, Qisheng Xu, Yong Dou",CVPR Workshops,2024,https://doi.org/10.1109/CVPRW63382.2024.00668
