Title,Authors,Venue,Year,URL
"Proceedings of the 2023 7th International Conference on Machine Learning and Soft Computing, ICMLSC 2023, Chongqing, China, January 5-7, 2023",,ICMLSC,2023,https://doi.org/10.1145/3583788
"International Conference on Machine Learning, ICML 2023, 23-29 July 2023, Honolulu, Hawaii, USA.","Andreas Krause 0001, Emma Brunskill, Kyunghyun Cho, Barbara Engelhardt, Sivan Sabato, Jonathan Scarlett","['ICML', 'Proceedings of Machine Learning Research']",2023,http://proceedings.mlr.press/v202/
"International Conference on Machine Learning and Applications, ICMLA 2023, Jacksonville, FL, USA, December 15-17, 2023",,ICMLA,2023,https://doi.org/10.1109/ICMLA58977.2023
"International Conference on Machine Learning and Cybernetics, ICMLC 2023, Adelaide, Australia, July 9-11, 2023",,ICMLC,2023,https://doi.org/10.1109/ICMLC58545.2023
"Proceedings of the 15th International Conference on Machine Learning and Computing, ICMLC 2023, Zhuhai, China, February 17-20, 2023",,ICMLC,2023,https://doi.org/10.1145/3587716
"4th International Conference on Machine Learning and Computer Application, ICMLCA 2023, Hangzhou, China, October 27-29, 2023",,ICMLCA,2023,https://doi.org/10.1145/3650215
"Proceedings of the 8th International Conference on Machine Learning Technologies, ICMLT 2023, Stockholm, Sweden, March 10-12, 2023",,ICMLT,2023,https://doi.org/10.1145/3589883
ICML 2023 Topological Deep Learning Challenge: Design and Results.,"Mathilde Papillon, Mustafa Hajij, Audun Myers, Florian Frantzen, Ghada Zamzmi, Helen Jenne, Johan Mathe, Josef Hoppe, Michael T. Schaub, Theodore Papamarkou, Aldo Guzmán-Sáenz, Bastian Rieck, Neal Livesay, Tamal K. Dey, Abraham Rabinowitz, Aiden Brent, Alessandro Salatiello, Alexander Nikitin, Ali Zia, Claudio Battiloro, Dmitrii Gavrilev, Georg Bökman, German Magai, Gleb Bazhenov, Guillermo Bernárdez, Indro Spinelli, Jens Agerberg, Kalyan Varma Nadimpalli, Lev Telyatnikov, Luca Scofano, Lucia Testa, Manuel Lecha, Maosheng Yang, Mohammed Hassanin, Odin Hoff Gardaa, Olga Zaghen, Paul Häusner, Paul Snopoff, Pavlo Melnyk, Rubén Ballester, Sadrodin Barikbin, Sergio Escalera, Simone Fiorellino, Henry Kvinge, Jan Meissner, Karthikeyan Natesan Ramamurthy, Michael Scholkemper, Paul Rosen 0001, Robin Walters 0001, Shreyas N. Samaga, Soham Mukherjee, Sophia Sanborn, Tegan Emerson, Timothy Doster, Tolga Birdal, Vincent P. Grande, Abdelwahed Khamis, Simone Scardapane, Suraj Singh, Tatiana Malygina, Yixiao Yue, Nina Miolane",TAG-ML,2023,https://proceedings.mlr.press/v221/papillon23a.html
ICML 2023 Topological Deep Learning Challenge : Design and Results.,"Mathilde Papillon, Mustafa Hajij, Florian Frantzen, Josef Hoppe, Helen Jenne, Johan Mathe, Audun Myers, Theodore Papamarkou, Michael T. Schaub, Ghada Zamzmi, Tolga Birdal, Tamal K. Dey, Tim Doster, Tegan Emerson, Gurusankar Gopalakrishnan, Devendra Govil, Vincent P. Grande, Aldo Guzmán-Sáenz, Henry Kvinge, Neal Livesay, Jan Meissner, Soham Mukherjee, Shreyas N. Samaga, Karthikeyan Natesan Ramamurthy, Maneel Reddy Karri, Paul Rosen 0001, Sophia Sanborn, Michael Scholkemper, Robin Walters 0001, Jens Agerberg, Georg Bökman, Sadrodin Barikbin, Claudio Battiloro, Gleb Bazhenov, Guillermo Bernárdez, Aiden Brent, Sergio Escalera, Simone Fiorellino, Dmitrii Gavrilev, Mohammed Hassanin, Paul Häusner, Odin Hoff Gardaa, Abdelwahed Khamis, Manuel Lecha, German Magai, Tatiana Malygina, Pavlo Melnyk, et al.",CoRR,2023,https://doi.org/10.48550/arXiv.2309.15188
Analysis of the ICML 2023 Ranking Data: Can Authors&apos; Opinions of Their Own Papers Assist Peer Review in Machine Learning?,"Buxin Su, Jiayao Zhang 0001, Natalie Collina, Yuling Yan, Didong Li, Kyunghyun Cho, Jianqing Fan, Aaron Roth 0001, Weijie J. Su",CoRR,2024,https://doi.org/10.48550/arXiv.2408.13430
