Title,Authors,Venue,Year,URL
KDD Health Day/DSHealth 2021: Joint KDD 2021 Health Day and 2021 KDD Workshop on Applied Data Science for Healthcare: State of XAI and Trustworthiness in Health.,"Fei Wang 0001, Prithwish Chakraborty, Tao Xu, Pei-Yun Sabrina Hsueh, Xudong Sun 0014, Gregor Stiglic, Gracy Crane, Jiang Bian 0001, Laleh Haghverdi, Lixia Yao, Florian Buettner 0001",KDD,2021,https://doi.org/10.1145/3447548.3469474
"The KDD 2021 Workshop on Causal Discovery, CD@KDD 2021, Singapore, August 15, 2021.","Thuc Duy Le, Jiuyong Li, Gregory Cooper, Sofia Triantafyllou, Elias Bareinboim, Huan Liu 0001, Negar Kiyavash","['CD@KDD', 'Proceedings of Machine Learning Research']",2021,https://proceedings.mlr.press/v150/
TMC 2021: 2021 International Workshop on Talent and Management Computing.,"Hui Xiong 0001, Hengshu Zhu, Tong Xu 0001, Xi Zhang 0009",KDD,2021,https://doi.org/10.1145/3447548.3469465
2021 KDD Workshop on Understanding Public Perceptions for Applied Data Science: How Important is it to Engage Society in Technology Development?,"ChanGhee Koh, SoYoung Kim, Nathaniel Tan",KDD,2021,https://doi.org/10.1145/3447548.3469459
The KDD 2021 Workshop on Causal Discovery (CD2021).,"Thuc Duy Le, Jiuyong Li, Gregory Cooper, Sofia Triantafillou, Elias Bareinboim, Huan Liu 0001, Negar Kiyavash",KDD,2021,https://doi.org/10.1145/3447548.3469462
KDD 2021 Tutorial on Systemic Challenges and Solutions on Bias and Unfairness in Peer Review.,Nihar B. Shah,KDD,2021,https://doi.org/10.1145/3447548.3470826
3rd International Workshop on Deep Learning Practice for High-Dimensional Sparse Data with KDD 2021.,"Xiaoqiang Zhu, Kuang-chih Lee, Guorui Zhou, Biye Jiang, Zhe Wang, Ruiming Tang, Kan Ren, Qingyao Ai, Weinan Zhang 0001",KDD,2021,https://doi.org/10.1145/3447548.3469444
"KDD &apos;21: The 27th ACM SIGKDD Conference on Knowledge Discovery and Data Mining, Virtual Event, Singapore, August 14-18, 2021","Feida Zhu 0002, Beng Chin Ooi, Chunyan Miao",KDD,2021,https://doi.org/10.1145/3447548
"3rd Workshop on Data Science with Human in the Loop, DaSH@KDD, Virtual Conference, August 15, 2021.","Eduard C. Dragut, Yunyao Li 0001, Lucian Popa 0001, Slobodan Vucetic",DaSH@KDD,2021,N/A
20th International Workshop on Data Mining in Bioinformatics (BIOKDD 2021).,"Da Yan 0001, Steve Qin, Debswapna Bhattacharya, Jake Y. Chen, Mohammed J. Zaki",KDD,2021,https://doi.org/10.1145/3447548.3469442
The 4th International Workshop on Epidemiology meets Data Mining and Knowledge Discovery (epiDAMIK 4.0 @ KDD2021).,"Bijaya Adhikari, Ajitesh Srivastava, Sen Pei, Sarah Kefayati, Rose Yu, Amulya Yadav, Alexander Rodríguez, Arvind Ramanathan, Anil Vullikanti, B. Aditya Prakash",KDD,2021,https://doi.org/10.1145/3447548.3469475
AdKDD 2021.,"Abraham Bagherjeiran, Nemanja Djuric, Mihajlo Grbovic, Kuang-chih Lee, Kun Liu, Vladan Radosavljevic, Suju Rajan",KDD,2021,https://doi.org/10.1145/3447548.3469486
Challenges in KDD and ML for Sustainable Development.,"Laure Berti-Équille, David Dao, Stefano Ermon, Bedharta Goswami",KDD,2021,https://doi.org/10.1145/3447548.3470798
Third Workshop on Adversarial Learning Methods for Machine Learning and Data Mining (AdvML 2021).,"Pin-Yu Chen, Cho-Jui Hsieh, Bo Li 0026, Sijia Liu 0001",KDD,2021,https://doi.org/10.1145/3447548.3469455
Automated Mechanism Design for Strategic Classification: Abstract for KDD&apos;21 Keynote Talk.,Vincent Conitzer,KDD,2021,https://doi.org/10.1145/3447548.3469650
"The International Workshop on Pretraining: Algorithms, Architectures, and Applications ([email protected] 2021).","Ming Ding 0004, Yuxiao Dong, Xiao Liu 0036, Jiezhong Qiu, Jie Tang 0001, Zhilin Yang",KDD,2021,https://doi.org/10.1145/3447548.3469479
DI-2021: The Second Document Intelligence Workshop.,"Benjamin Han, Douglas Burdick, Dave Lewis 0003, Yijuan Lu, Hamid Motahari 0001, Sandeep Tata",KDD,2021,https://doi.org/10.1145/3447548.3469454
Preface: The 2021 ACM SIGKDD Workshop on Causal Discovery.,"Thuc Duy Le, Jiuyong Li, Gregory Cooper, Sofia Triantafyllou, Elias Bareinboim, Huan Liu 0001, Negar Kiyavash",CD@KDD,2021,https://proceedings.mlr.press/v150/le21a.html
MiLeTS&apos;21: 7th KDD Workshop on Mining and Learning from Time Series.,"Sanjay Purushotham, Yaguang Li, Zhengping Che",KDD,2021,https://doi.org/10.1145/3447548.3469485
ACM KDD AI4Cyber: The 1st Workshop on Artificial Intelligence-enabled Cybersecurity Analytics.,"Sagar Samtani, Shanchieh Yang, Hsinchun Chen",KDD,2021,https://doi.org/10.1145/3447548.3469450
The 4th Workshop on Heterogeneous Information Network Analysis and Applications (HENA 2021).,"Chuan Shi 0001, Yuan Fang 0001, Yanfang Ye 0001, Jiawei Zhang 0001",KDD,2021,https://doi.org/10.1145/3447548.3469445
The Sixth International Workshop on Deep Learning on Graphs - Methods and Applications (DLG-KDD&apos;21).,"Lingfei Wu 0001, Jiliang Tang, Yinglong Xia, Jian Pei, Xiaojie Guo 0002",KDD,2021,https://doi.org/10.1145/3447548.3469470
PLP 2021: Workshop on Programming Language Processing.,"Chang Xu 0002, Siqi Ma, David Lo 0001",KDD,2021,https://doi.org/10.1145/3447548.3469460
The Third International Workshop on Smart Data for Blockchain and Distributed Ledger (SDBD2021): Joint Workshop with SIGKDD 2021 Trust Day.,"Feida Zhu 0001, Jian Pei",KDD,2021,https://doi.org/10.1145/3447548.3469441
First Place Solution of KDD Cup 2021 &amp; OGB Large-Scale Challenge Graph Prediction Track.,"Chengxuan Ying, Mingqi Yang, Shuxin Zheng, Guolin Ke, Shengjie Luo, Tianle Cai, Chenglin Wu, Yuxin Wang, Yanming Shen, Di He 0001",CoRR,2021,https://arxiv.org/abs/2106.08279
NOTE: Solution for KDD-CUP 2021 WikiKG90M-LSC.,"Weiyue Su, Zeyang Fang, Hui Zhong, Huijuan Wang, Siming Dai, Zhengjie Huang, Yunsheng Shi, Shikun Feng, Zeyu Chen",CoRR,2021,https://arxiv.org/abs/2107.01892
Technical Report of Team GraphMIRAcles in the WikiKG90M-LSC Track of OGB-LSC @ KDD Cup 2021.,"Jianyu Cai, Jiajun Chen 0001, Taoxing Pan, Zhanqiu Zhang, Jie Wang 0005",CoRR,2021,https://arxiv.org/abs/2107.05476
DQN Control Solution for KDD Cup 2021 City Brain Challenge.,"Yitian Chen, Kunlong Chen, Kunjin Chen, Lin Wang",CoRR,2021,https://arxiv.org/abs/2108.06491
Proceedings of KDD 2021 Workshop on Data-driven Humanitarian Mapping: Harnessing Human-Machine Intelligence for High-Stake Public Policy and Resilience Planning.,"Snehalkumar (Neil) S. Gaikwad, Shankar Iyer, Dalton D. Lunga, Elizabeth Bondi",CoRR,2021,https://arxiv.org/abs/2109.00100
Improving Performance of Autoencoder-Based Network Anomaly Detection on NSL-KDD Dataset.,"Wen Xu, Julian Jang-Jaccard, Amardeep Singh, Yuanyuan Wei 0005, Fariza Sabrina",IEEE Access,2021,https://doi.org/10.1109/ACCESS.2021.3116612
KDD: A kernel density based descriptor for 3D point clouds.,"Yuhe Zhang, Chunhui Li, Bao Guo, Chenhao Guo, Shunli Zhang",Pattern Recognit.,2021,https://doi.org/10.1016/j.patcog.2020.107691
Data Mining in Education: Discussing Knowledge Discovery in Database (KDD) with Cluster Associative Study.,"Abdulkadir Abdulahi Hasan, Huan Fang 0001",ICAIIS,2021,https://doi.org/10.1145/3469213.3471319
KDDLog: Performance and Scalability in Knowledge Discovery by Declarative Queries with Aggregates.,"Youfu Li 0003, Jin Wang 0007, Mingda Li, Ariyam Das, Jiaqi Gu 0001, Carlo Zaniolo",ICDE,2021,https://doi.org/10.1109/ICDE51399.2021.00113
Research on Optimization of sports tourism route planning based on KDD from the perspective of knowledge map.,"Dandan Wu, Zhen Huang, Shaowei Chen",ICISCAE,2021,https://doi.org/10.1145/3482632.3487443
Memory Efficient Adversarial Attacks on Graphs: A Winning Solution for KDD Cup 2020.,"Keiichi Ochiai, Takuya Chida, Keita Yokoyama, Daisuke Koizumi, Hiroaki Tanaka, Akihiro Kawana",ICMU,2021,https://doi.org/10.23919/ICMU50196.2021.9638939
On the Power of Pre-Trained Text Representations: Models and Applications in Text Mining.,"Yu Meng 0001, Jiaxin Huang 0001, Yu Zhang 0044, Jiawei Han 0001",KDD,2021,https://doi.org/10.1145/3447548.3470810
ODD: Outlier Detection and Description.,"Siddharth Bhatia 0001, Bryan Hooi, Leman Akoglu, Sourav Chatterjee, Xiaodong Jiang, Manish Gupta",KDD,2021,https://doi.org/10.1145/3447548.3469483
Weakly Supervised Spatial Deep Learning based on Imperfect Vector Labels with Registration Errors.,"Zhe Jiang 0001, Wenchong He, Marcus Stephen Kirby, Sultan Asiri, Da Yan 0001",KDD,2021,https://doi.org/10.1145/3447548.3467301
Analysis and Applications of Class-wise Robustness in Adversarial Training.,"Qi Tian 0001, Kun Kuang, Kelu Jiang, Fei Wu 0001, Yisen Wang 0001",KDD,2021,https://doi.org/10.1145/3447548.3467403
From Deep Learning to Deep Reasoning.,"Truyen Tran 0001, Vuong Le, Hung Le, Thao Minh Le",KDD,2021,https://doi.org/10.1145/3447548.3470803
Local Algorithms for Estimating Effective Resistance.,"Pan Peng 0001, Daniel Lopatta, Yuichi Yoshida, Gramoz Goranci",KDD,2021,https://doi.org/10.1145/3447548.3467361
Metric Learning via Penalized Optimization.,"Hao Huang 0001, Yanan Peng, Ting Gan, Weiping Tu, Ruiting Zhou, Sai Wu",KDD,2021,https://doi.org/10.1145/3447548.3467369
MeLL: Large-scale Extensible User Intent Classification for Dialogue Systems with Meta Lifelong Learning.,"Chengyu Wang 0001, Haojie Pan, Yuan Liu, Kehan Chen, Minghui Qiu, Wei Zhou, Jun Huang 0007, Haiqing Chen, Wei Lin 0016, Deng Cai 0001",KDD,2021,https://doi.org/10.1145/3447548.3467107
"Machine Learning Robustness, Fairness, and their Convergence.","Jae-Gil Lee 0001, Yuji Roh, Hwanjun Song, Steven Euijong Whang",KDD,2021,https://doi.org/10.1145/3447548.3470799
Exploring Self-Supervised Representation Ensembles for COVID-19 Cough Classification.,"Hao Xue 0001, Flora D. Salim",KDD,2021,https://doi.org/10.1145/3447548.3467263
Graph Adversarial Attack via Rewiring.,"Yao Ma 0001, Suhang Wang, Tyler Derr, Lingfei Wu 0001, Jiliang Tang",KDD,2021,https://doi.org/10.1145/3447548.3467416
Discrete-time Temporal Network Embedding via Implicit Hierarchical Learning in Hyperbolic Space.,"Menglin Yang 0001, Min Zhou 0006, Marcus Kalander, Zengfeng Huang, Irwin King",KDD,2021,https://doi.org/10.1145/3447548.3467422
When Homomorphic Encryption Marries Secret Sharing: Secure Large-Scale Sparse Logistic Regression and Applications in Risk Control.,"Chaochao Chen 0001, Jun Zhou 0011, Li Wang 0056, Xibin Wu, Wenjing Fang, Jin Tan, Lei Wang 0152, Alex X. Liu, Hao Wang 0007, Cheng Hong 0001",KDD,2021,https://doi.org/10.1145/3447548.3467210
Multi-class Text Classification using BERT-based Active Learning.,"Sumanth Prabhu 0002, Moosa Mohamed, Hemant Misra",DaSH@KDD,2021,https://github.com/valahu/dash/blob/main/KDD2021/paper_4_Prabhu.pdf
Coupled Graph ODE for Learning Interacting System Dynamics.,"Zijie Huang 0002, Yizhou Sun, Wei Wang 0010",KDD,2021,https://doi.org/10.1145/3447548.3467385
TimeSHAP: Explaining Recurrent Models through Sequence Perturbations.,"João Bento 0002, Pedro Saleiro, André Ferreira Cruz, Mário A. T. Figueiredo, Pedro Bizarro",KDD,2021,https://doi.org/10.1145/3447548.3467166
Bootstrapping Recommendations at Chrome Web Store.,"Zhen Qin 0001, Honglei Zhuang, Rolf Jagerman, Xinyu Qian, Po Hu, Dan Chary Chen, Xuanhui Wang, Michael Bendersky, Marc Najork",KDD,2021,https://doi.org/10.1145/3447548.3467099
MugRep: A Multi-Task Hierarchical Graph Representation Learning Framework for Real Estate Appraisal.,"Weijia Zhang 0003, Hao Liu 0026, Lijun Zha, Hengshu Zhu, Ji Liu 0003, Dejing Dou, Hui Xiong 0001",KDD,2021,https://doi.org/10.1145/3447548.3467187
Relational Message Passing for Knowledge Graph Completion.,"Hongwei Wang 0004, Hongyu Ren, Jure Leskovec",KDD,2021,https://doi.org/10.1145/3447548.3467247
Que2Search: Fast and Accurate Query and Document Understanding for Search at Facebook.,"Yiqun Liu 0006, Kaushik Rangadurai, Yunzhong He, Siddarth Malreddy, Xunlong Gui, Xiaoyi Liu, Fedor Borisyuk",KDD,2021,https://doi.org/10.1145/3447548.3467127
Domain-Specific Pretraining for Vertical Search: Case Study on Biomedical Literature.,"Yu Wang 0009, Jinchao Li, Tristan Naumann, Chenyan Xiong, Hao Cheng 0002, Robert Tinn, Cliff Wong, Naoto Usuyama, Richard Rogahn, Zhihong Shen, Yang Qin, Eric Horvitz, Paul N. Bennett, Jianfeng Gao 0001, Hoifung Poon",KDD,2021,https://doi.org/10.1145/3447548.3469053
Efficient Incremental Computation of Aggregations over Sliding Windows.,"Chao Zhang 0045, Reza Akbarinia, Farouk Toumani",KDD,2021,https://doi.org/10.1145/3447548.3467360
Practical Approach to Asynchronous Multivariate Time Series Anomaly Detection and Localization.,"Ahmed Abdulaal, Zhuanghua Liu, Tomer Lancewicki",KDD,2021,https://doi.org/10.1145/3447548.3467174
Fragile Earth: Accelerating Progress towards Equitable Sustainability.,"Naoki Abe, Kathleen Buckingham, Bistra Dilkina, Emre Eftelioglu, Auroop R. Ganguly, James Hodson, Ramakrishnan Kannan",KDD,2021,https://doi.org/10.1145/3447548.3469484
Counterfactual Graphs for Explainable Classification of Brain Networks.,"Carlo Abrate, Francesco Bonchi",KDD,2021,https://doi.org/10.1145/3447548.3467154
All Models Are Useful: Bayesian Ensembling for Robust High Resolution COVID-19 Forecasting.,"Aniruddha Adiga, Lijing Wang 0001, Benjamin Hurt, Akhil Sai Peddireddy, Przemyslaw J. Porebski, Srinivasan Venkatramanan, Bryan Leroy Lewis, Madhav V. Marathe",KDD,2021,https://doi.org/10.1145/3447548.3467197
Software as a Medical Device: Regulating AI in Healthcare via Responsible AI.,"Muhammad Aurangzeb Ahmad, Steve Overman, Christine Allen, Vikas Kumar, Ankur Teredesai, Carly Eckert",KDD,2021,https://doi.org/10.1145/3447548.3470823
Data Science on Blockchains.,"Cuneyt Gurcan Akcora, Murat Kantarcioglu, Yulia R. Gel",KDD,2021,https://doi.org/10.1145/3447548.3470800
Quantifying and Addressing Ranking Disparity in Human-Powered Data Acquisition.,"Sihem Amer-Yahia, Shady Elbassuoni, Ahmad Ghizzawi, Anas Hosami",KDD,2021,https://doi.org/10.1145/3447548.3467063
LawyerPAN: A Proficiency Assessment Network for Trial Lawyers.,"Yanqing An, Qi Liu 0003, Han Wu 0002, Kai Zhang 0038, Linan Yue, Mingyue Cheng, Hongke Zhao, Enhong Chen",KDD,2021,https://doi.org/10.1145/3447548.3467218
Fine-Grained System Identification of Nonlinear Neural Circuits.,"Dawna Bagherian, James Gornet, Jeremy Bernstein, Yu-Li Ni, Yisong Yue, Markus Meister",KDD,2021,https://doi.org/10.1145/3447548.3467402
On Training Sample Memorization: Lessons from Benchmarking Generative Modeling with a Large-scale Competition.,"Ching-Yuan Bai, Hsuan-Tien Lin, Colin Raffel, Wendy Chi-wen Kan",KDD,2021,https://doi.org/10.1145/3447548.3467198
Why Attentions May Not Be Interpretable?,"Bing Bai, Jian Liang 0001, Guanhua Zhang, Hao Li, Kun Bai, Fei Wang 0001",KDD,2021,https://doi.org/10.1145/3447548.3467307
Multi-facet Contextual Bandits: A Neural Network Perspective.,"Yikun Ban, Jingrui He, Curtiss B. Cook",KDD,2021,https://doi.org/10.1145/3447548.3467299
Auto-Split: A General Framework of Collaborative Edge-Cloud AI.,"Amin Banitalebi-Dehkordi, Naveen Vedula, Jian Pei, Fei Xia, Lanjun Wang, Yong Zhang 0004",KDD,2021,https://doi.org/10.1145/3447548.3467078
