Title,Authors,Venue,Year,URL
"Advances in Neural Information Processing Systems 34: Annual Conference on Neural Information Processing Systems 2021, NeurIPS 2021, December 6-14, 2021, virtual.","Marc&apos;Aurelio Ranzato, Alina Beygelzimer, Yann N. Dauphin, Percy Liang, Jennifer Wortman Vaughan",NeurIPS,2021,https://proceedings.neurips.cc/paper/2021
"I (Still) Can&apos;t Believe It&apos;s Not Better! Workshop at NeurIPS 2021, Virtual Workshop, December 13, 2021.","Melanie F. Pradier, Aaron Schein, Stephanie L. Hyland, Francisco J. R. Ruiz, Jessica Zosa Forde","['ICBINB@NeurIPS', 'Proceedings of Machine Learning Research']",2021,https://proceedings.mlr.press/v163/
"Machine Learning for Health, ML4H@NeurIPS 2021, 04 December 2021, Virtual Event.","Subhrajit Roy, Stephen Pfohl, Emma Rocheteau, Girmaw Abebe Tadesse, Luis Oala, Fabian Falck, Yuyin Zhou, Liyue Shen, Ghada Zamzmi, Purity Mugambi, Ayah Zirikly, Matthew B. A. McDermott, Emily Alsentzer","['ML4H@NeurIPS', 'Proceedings of Machine Learning Research']",2021,http://proceedings.mlr.press/v158/
"Proceedings of the Neural Information Processing Systems Track on Datasets and Benchmarks 1, NeurIPS Datasets and Benchmarks 2021, December 2021, virtual.","Joaquin Vanschoren, Sai-Kit Yeung",NeurIPS Datasets and Benchmarks,2021,https://datasets-benchmarks-proceedings.neurips.cc/paper/2021
"NeurIPS 2021 Workshop on Pre-Registration in Machine Learning, 13 December 2021, Virtual","Samuel Albanie, João F. Henriques, Luca Bertinetto, Alex Hernández-García, Hazel Doughty, Gül Varol","['Pre-Registration Workshop @ NeurIPS', 'Proceedings of Machine Learning Research']",2021,https://proceedings.mlr.press/v181/
"NeurIPS 2021 Competitions and Demonstrations Track, 6-14 December 2021, Online.","Douwe Kiela, Marco Ciccone, Barbara Caputo","['NeurIPS', 'Proceedings of Machine Learning Research']",2022,http://proceedings.mlr.press/v176/
Lessons learned from the NeurIPS 2021 MetaDL challenge: Backbone fine-tuning without episodic meta-learning dominates for few-shot learning image classification.,"Adrian El Baz, Ihsan Ullah, Edesio Alcobaça, André C. P. L. F. de Carvalho, Hong Chen, Fabio Ferreira, Henry Gouk, Chaoyu Guan, Isabelle Guyon, Timothy M. Hospedales, Shell Hu, Mike Huisman, Frank Hutter, Zhengying Liu, Felix Mohr, Ekrem Öztürk, Jan N. van Rijn, Haozhe Sun, Xin Wang 0019, Wenwu Zhu 0001",NeurIPS,2021,https://proceedings.mlr.press/v176/el-baz22a.html
Traffic4cast at NeurIPS 2021 - Temporal and Spatial Few-Shot Transfer Learning in Gridded Geo-Spatial Processes.,"Christian Eichenberger, Moritz Neun, Henry Martin, Pedro Herruzo, Markus Spanring, Yichao Lu, Sungbin Choi, Vsevolod Konyakhin, Nina Lukashina, Aleksei Shpilman, Nina Wiedemann, Martin Raubal, Bo Wang, Hai L. Vu, Reza Mohajerpoor, Chen Cai, Inhi Kim, Luca Hermes, Andrew Melnik, Riza Velioglu, Markus Vieth, Malte Schilling, Alabi Bojesomo, Hasan Al-Marzouqi, Panos Liatsis, Jay Santokhi, Dylan Hillier, Yiming Yang, Joned Sarwar, Anna Jordan, Emil Hewage, David Jonietz, Fei Tang, Aleksandra Gruca, Michael Kopp 0001, David P. Kreil, Sepp Hochreiter",NeurIPS,2021,https://proceedings.mlr.press/v176/eichenberger22a.html
Insights From the NeurIPS 2021 NetHack Challenge.,"Eric Hambro, Sharada P. Mohanty, Dmitrii Babaev, Minwoo Byeon, Dipam Chakraborty, Edward Grefenstette, Minqi Jiang, DaeJin Jo, Anssi Kanervisto, Jongmin Kim 0006, Sungwoong Kim, Robert Kirk, Vitaly Kurin, Heinrich Küttler, Taehwon Kwon, Donghoon Lee, Vegard Mella, Nantas Nardelli, Ivan Nazarov, Nikita Ovsov, Jack Parker-Holder, Roberta Raileanu, Karolis Ramanauskas, Tim Rocktäschel, Danielle Rothermel, Mikayel Samvelyan, Dmitry Sorokin, Maciej Sypetkowski, Michal Sypetkowski",NeurIPS,2021,https://proceedings.mlr.press/v176/hambro22a.html
Machine Learning for Health (ML4H) 2021.,"Subhrajit Roy, Stephen Pfohl, Girmaw Abebe Tadesse, Luis Oala, Fabian Falck, Yuyin Zhou, Liyue Shen, Ghada Zamzmi, Purity Mugambi, Ayah Zirikly, Matthew B. A. McDermott, Emily Alsentzer",ML4H@NeurIPS,2021,https://proceedings.mlr.press/v158/roy21a.html
