Author,University
Radu Timofte,University of Würzburg
Michael S. Brown,York University
Radu Timofte,University of Würzburg
Radu Timofte,University of Würzburg
Yu Qiao 0001,Chinese Academy of Sciences
Shuhang Gu,UESTC
Radu Timofte,University of Würzburg
Sabine Süsstrunk,EPFL
Radu Timofte,University of Würzburg
Radu Timofte,University of Würzburg
Radu Timofte,University of Würzburg
Radu Timofte,University of Würzburg
Radu Timofte,University of Würzburg
Radu Timofte,University of Würzburg
Radu Timofte,University of Würzburg
Radu Timofte,University of Würzburg
Radu Timofte,University of Würzburg
Radu Timofte,University of Würzburg
Kyoung Mu Lee,Seoul National University
Ales Leonardis,University of Birmingham
Radu Timofte,University of Würzburg
William J. Beksi,University of Texas at Arlington
Radu Timofte,University of Würzburg
Kyoung Mu Lee,Seoul National University
Seon Joo Kim,Yonsei University
Libo Zhang 0001,Chinese Academy of Sciences
John McDonald 0001,Maynooth University
Xuming He 0001,ShanghaiTech University
Yanning Zhang,NWPU
Mirco Ravanelli,Concordia University
Sudhir Mudur,Concordia University
Eugene Belilovsky,Concordia University
Yu-Wing Tai,Dartmouth College
Yunhong Wang,Beihang University
Derek Hoiem,Univ. of Illinois at Urbana-Champaign
Abhinav Gupta 0001,Carnegie Mellon University
Zhuowen Tu,Univ. of California - San Diego
Ricardo Henao,KAUST
Lawrence Carin,Duke University
Tat-Jun Chin,University of Adelaide
Ian Reid 0001,MBZUAI
Marynel Vázquez,Yale University
Xiangyang Xue 0001,Fudan University
Jiancheng Lv 0001,Sichuan University
Xi Peng 0001,Sichuan University
Shijian Lu,Nanyang Technological University
Shijian Lu,Nanyang Technological University
Yu-Gang Jiang,Fudan University
Longin Jan Latecki,Temple University
Andrew S. Lan,University of Massachusetts Amherst
Pedro Morgado 0001,University of Wisconsin - Madison
Nuno Vasconcelos,Univ. of California - San Diego
Abhinav Shrivastava,University of Maryland - College Park
Tae-Hyun Oh,POSTECH
Tim Weyrich,University College London
Bernd Bickel,IST Austria
Hanspeter Pfister,Harvard University
Wojciech Matusik,Massachusetts Institute of Technology
Pedro Morgado 0001,University of Wisconsin - Madison
Nuno Vasconcelos,Univ. of California - San Diego
Lina Yao 0001,UNSW
Qiang Zhou 0001,Tsinghua University
Kailun Yang 0001,Hunan University
Rainer Stiefelhagen,Karlsruhe Institute of Technology
Song Wang 0002,University of South Carolina
Jun-Yan Zhu,Carnegie Mellon University
Chao Ma 0004,Shanghai Jiao Tong University
Bing Zeng,UESTC
Peng Hu 0002,Sichuan University
Xi Peng 0001,Sichuan University
Ming-Hsuan Yang 0001,Univ. of California - Merced
Ran He 0001,Chinese Academy of Sciences
He Wang 0002,University of Leeds
Tianjia Shao,Zhejiang University
Yong-Liang Yang,University of Bath
Kun Zhou 0001,Zhejiang University
Qifeng Chen,HKUST
Limin Wang 0002,Nanjing University
Gangshan Wu,Nanjing University
Quanshi Zhang,Shanghai Jiao Tong University
Wei Zhang 0016,Fudan University
Kwang-Ting Cheng,HKUST
Radu Timofte,University of Würzburg
Gedas Bertasius,University of North Carolina
Shih-Fu Chang,Columbia University
Qin Jin,Renmin University of China
Chen Change Loy,Nanyang Technological University
Ziwei Liu 0002,Nanyang Technological University
Chi-Wing Fu,Chinese University of Hong Kong
Pheng-Ann Heng,Chinese University of Hong Kong
Cheng-Zhong Xu 0001,University of Macau
Xi Peng 0005,University of Delaware
Dimitris N. Metaxas,Rutgers University
Yongxin Yang,Queen Mary University of London
Timothy M. Hospedales,University of Edinburgh
Tao Xiang 0002,University of Surrey
Yi-Zhe Song,University of Surrey
Ligang Liu,USTC
Hujun Bao,Zhejiang University
Shuigeng Zhou,Fudan University
Xiaoming Liu 0002,Michigan State University
Hwann-Tzong Chen,National Tsing Hua University
Hwann-Tzong Chen,National Tsing Hua University
Praneeth Vepakomma,MBZUAI
Ramesh Raskar,Massachusetts Institute of Technology
Yan Yan 0002,University of Illinois at Chicago
Junchi Yan,Shanghai Jiao Tong University
Yunchao Wei,Beijing Jiaotong University
Yi Yang 0001,Zhejiang University
Chenliang Xu,University of Rochester
Chunhua Shen,Zhejiang University
Guandong Xu 0001,University of Technology Sydney
Tat-Jun Chin,University of Adelaide
Hongdong Li,Australian National University
He Wang 0010,Peking University
Or Litany,Technion
Leonidas J. Guibas,Stanford University
Ruiqin Xiong,Peking University
Tiejun Huang 0001,Peking University
Zhuowen Tu,Univ. of California - San Diego
Shenlong Wang,Univ. of Illinois at Urbana-Champaign
Long Chen 0016,HKUST
Jun Xiao 0001,Zhejiang University
Song-Chun Zhu,Peking University
Yixin Zhu 0001,Peking University
Song-Chun Zhu,Peking University
Yixin Zhu 0001,Peking University
Alan L. Yuille,Johns Hopkins University
Xu Yang 0019,Xidian University
Cheng Deng,Xidian University
Junchi Yan,Shanghai Jiao Tong University
Xiaogang Wang 0001,Chinese University of Hong Kong
Hongsheng Li 0001,Chinese University of Hong Kong
Jungong Han,University of Sheffield
Lei Wang 0001,University of Wollongong
