University,Publications
Peking University,992
Shanghai Jiao Tong University,834
Tsinghua University,796
Zhejiang University,770
Carnegie Mellon University,749
Univ. of California - Berkeley,710
KAIST,645
Nanyang Technological University,641
Massachusetts Institute of Technology,627
Stanford University,623
Chinese Academy of Sciences,570
HKUST,489
Univ. of Illinois at Urbana-Champaign,477
Univ. of California - San Diego,467
ETH Zurich,443
Nanjing University,431
MBZUAI,401
Chinese University of Hong Kong,393
University of Maryland - College Park,391
National University of Singapore,367
Georgia Institute of Technology,360
New York University,356
UESTC,354
University of Texas at Austin,332
Univ. of California - Los Angeles,330
Harbin Institute of Technology,329
EPFL,329
Princeton University,322
CUHK (SZ),313
Technion,308
University of Washington,307
TU Munich,304
Renmin University of China,304
University of Pennsylvania,291
University of Toronto,282
University of Wisconsin - Madison,278
Xiamen University,251
Cornell University,250
University of Hong Kong,246
Sun Yat-sen University,245
University of Southern California,243
USTC,237
Fudan University,234
Tel Aviv University,233
University of Michigan,231
Wuhan University,228
Johns Hopkins University,222
University of Tokyo,219
University of Massachusetts Amherst,218
Xidian University,215
Northeastern University,215
University of Sydney,211
University of Edinburgh,206
KAUST,203
University of North Carolina,203
University of Central Florida,203
University of Tübingen,201
Beihang University,200
Imperial College London,197
ShanghaiTech University,195
Michigan State University,195
University of Virginia,194
Boston University,189
Seoul National University,188
Singapore Management University,187
University of Cambridge,183
City University of Hong Kong,183
POSTECH,182
University of Montreal,181
University of Adelaide,180
University of Alberta,179
Texas A&M University,176
BUPT,174
The Hong Kong Polytechnic University,173
University of Surrey,173
Pennsylvania State University,168
Simon Fraser University,167
Duke University,162
University of Chicago,161
Australian National University,161
Purdue University,153
Rice University,153
Columbia University,151
Ohio State University,149
University of British Columbia,149
University College London,146
Harvard University,144
Northwestern University,144
Shenzhen University,144
NWPU,141
University of Oxford,140
University at Buffalo,139
Arizona State University,139
University of Würzburg,137
Yonsei University,131
Hong Kong Baptist University,126
University of Waterloo,121
Brown University,120
Washington University in St. Louis,120
Univ. of California - Santa Cruz,118
University of Amsterdam,114
University of Notre Dame,113
University of Illinois at Chicago,111
Stony Brook University,110
University of Technology Sydney,109
Univ. of California - Irvine,107
Rutgers University,107
University of Melbourne,106
University of Macau,103
Univ. of California - Santa Barbara,101
CISPA Helmholtz Center,100
TU Wien,100
TU Delft,99
University of Utah,97
Beijing Jiaotong University,97
Emory University,96
Xi'an Jiaotong University,96
Macquarie University,95
