Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent,Country
1,University of Montreal,0.0,176.2856171606171,0.0,269.86545815295807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,Canada
2,DTU,0.0,17.872619047619047,0.0,15.616666666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Denmark
3,University of Maryland - College Park,0.0,27.25358252858252,0.0,70.71374269005852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
4,Weizmann Institute of Science,0.0,41.54654377880185,0.0,101.55357142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Israel
5,Princeton University,0.0,130.4525980832584,0.0,94.01814574314578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
6,University of Western Australia,0.0,2.283333333333333,0.0,21.49126984126984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia,Australia
7,Johns Hopkins University,0.0,42.55420655218609,0.0,62.478643578643606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
8,Trinity College Dublin,0.0,1.5666666666666669,0.0,3.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Ireland
9,University of Magdeburg,0.0,2.651190476190476,0.0,9.392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
10,Univ. of California - Irvine,0.0,19.22936507936508,0.0,21.53059163059163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
11,University of Birmingham,0.0,3.148412698412698,0.0,28.169573890162123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
12,University of Göttingen,0.0,1.902380952380952,0.0,3.128968253968254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
13,EPFL,0.0,103.12548534092836,0.0,162.31444988184109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Switzerland
14,Univ. of California - Berkeley,0.0,372.644684092697,0.0,451.00624572216657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
15,University of British Columbia,0.0,30.02340851579981,0.0,64.46673881673885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,Canada
16,University of Edinburgh,0.0,41.367460317460335,0.0,70.89755799755798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
17,University of Exeter,0.0,0.4,0.0,6.218290043290045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
18,University of Oxford,0.0,33.122817460317464,0.0,36.61867838044308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
19,University of Stuttgart,0.0,6.427777777777777,0.0,6.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
20,Simon Fraser University,0.0,18.35081030081029,0.0,104.93230519480528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,Canada
21,TU Munich,0.0,42.319480519480514,0.0,219.1763309789625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
22,California Institute of Technology,0.0,39.40515873015873,0.0,88.634126984127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
23,University of Catania,0.0,2.177272727272727,0.0,7.1136363636363615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Italy
24,Massachusetts Institute of Technology,0.0,261.87075450652014,0.0,487.207753327991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
25,University of Amsterdam,0.0,73.56067323481116,0.0,81.25989565989568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Netherlands
26,Ruhr-University Bochum,0.0,3.193939393939394,0.0,5.215151515151516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
27,University of Michigan,0.0,48.54319291819294,0.0,45.20454545454549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
28,Chinese University of Hong Kong,0.0,28.31154401154401,0.0,96.93949077238553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Hong Kong
29,KAUST,0.0,54.89047619047619,0.0,203.73221500721493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Saudi Arabia
30,University of Waikato,0.0,2.4333333333333336,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia,New Zealand
31,Cornell University,0.0,69.6751370851371,0.0,58.06522366522366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
32,TU Dresden,0.0,4.002380952380952,0.0,15.245238095238092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
33,LMU Munich,0.0,18.150093370681606,0.0,12.202380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
34,Zhejiang University,0.0,17.28206349206349,0.0,79.09404761904767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
35,Univ. of California - Los Angeles,0.0,53.42553163211057,0.0,55.88160173160176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
36,University of Washington,0.0,81.53518345456403,0.0,106.74682134673164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
37,Shenzhen University,0.0,3.01978021978022,0.0,13.38690476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
38,Heidelberg University,0.0,5.523088023088023,0.0,60.76323574086733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
39,Shanghai Jiao Tong University,0.0,17.32088554720133,0.0,43.05219363969368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
40,University of Texas at Austin,0.0,44.66308552558553,0.0,54.47247009526421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
41,Tianjin University,0.0,1.8619047619047613,0.0,5.777813852813853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
42,Tsinghua University,0.0,30.50108677871836,0.0,69.62972721722723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
43,UESTC,0.0,4.377777777777777,0.0,28.39761904761903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
44,University of Malaya,0.0,1.1666666666666663,0.0,4.330952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Malaysia
45,Stanford University,0.0,165.15251283444678,0.0,317.6414405997526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
46,Nanyang Technological University,0.0,24.402813852813846,0.0,122.7216242538824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Singapore
47,University of Rochester,0.0,7.233333333333334,0.0,25.601623376623376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
48,HKUST,0.0,17.787619047619046,0.0,102.40551568314729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Hong Kong
49,University College London,0.0,36.15400432900433,0.0,34.63272005772003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
50,University of Bath,0.0,3.809523809523809,0.0,12.983333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
51,Hasso Plattner Institute,0.0,3.3583333333333334,0.0,3.305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
52,Wuhan University,0.0,2.6619047619047618,0.0,25.475829725829715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
53,University of Toronto,0.0,111.35080623382648,0.0,209.68764087614883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,Canada
54,IST Austria,0.0,15.959656084656087,0.0,20.729401154401152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Austria
55,Georgia Institute of Technology,0.0,59.12926469665604,0.0,105.76779560308968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
56,Hebrew University of Jerusalem,0.0,59.84094516594518,0.0,97.13120110883274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Israel
57,Tel Aviv University,0.0,88.37452380952382,0.0,150.53899711399706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Israel
58,Lehigh University,0.0,0.125,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
59,Technion,0.0,120.02108590334392,0.0,138.12142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Israel
60,New York University,0.0,134.00317460317456,0.0,141.44447862079448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
61,Northeastern University,0.0,27.076445288684603,0.0,43.58253968253969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
62,TTI Chicago,0.0,49.3812963782004,0.0,28.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
63,Univ. of Illinois at Urbana-Champaign,0.0,42.39444444444446,0.0,66.3772366522367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
64,Carnegie Mellon University,0.0,222.10906632262143,0.0,246.806782106782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
65,Sichuan University,0.0,1.024242424242424,0.0,4.057575757575757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
66,University of Bristol,0.0,10.952272727272726,0.0,13.146572871572872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
67,University of Pennsylvania,0.0,43.39904609279608,0.0,75.69667212268023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
68,UNSW,0.0,6.0,0.0,6.270634920634921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia,Australia
69,Rochester Institute of Technology,0.0,6.966190476190476,0.0,5.242857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
70,Australian National University,0.0,15.693686868686866,0.0,80.45873015873019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia,Australia
