Index,University,Artificial Intelligence & Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
1,University of Montreal,0.0,0.0,269.86545815295807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
2,DTU,0.0,0.0,15.616666666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
3,University of Maryland - College Park,0.0,0.0,70.71374269005852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
4,Weizmann Institute of Science,0.0,0.0,101.55357142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
5,Princeton University,0.0,0.0,94.01814574314578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
6,University of Western Australia,0.0,0.0,21.49126984126984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia
7,Johns Hopkins University,0.0,0.0,62.478643578643606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
8,Trinity College Dublin,0.0,0.0,3.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
9,University of Magdeburg,0.0,0.0,9.392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
10,Univ. of California - Irvine,0.0,0.0,21.53059163059163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
11,University of Birmingham,0.0,0.0,28.169573890162123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
12,University of Göttingen,0.0,0.0,3.128968253968254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
13,EPFL,0.0,0.0,162.31444988184109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
14,Univ. of California - Berkeley,0.0,0.0,451.00624572216657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
15,University of British Columbia,0.0,0.0,64.46673881673885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
16,University of Edinburgh,0.0,0.0,70.89755799755798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
17,University of Exeter,0.0,0.0,6.218290043290045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
18,University of Oxford,0.0,0.0,36.61867838044308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
19,University of Stuttgart,0.0,0.0,6.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
20,Simon Fraser University,0.0,0.0,104.93230519480528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
21,TU Munich,0.0,0.0,219.1763309789625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
22,California Institute of Technology,0.0,0.0,88.634126984127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
23,University of Catania,0.0,0.0,7.1136363636363615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
24,Massachusetts Institute of Technology,0.0,0.0,487.207753327991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
25,University of Amsterdam,0.0,0.0,81.25989565989568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
26,Ruhr-University Bochum,0.0,0.0,5.215151515151516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
27,University of Michigan,0.0,0.0,45.20454545454549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
28,Chinese University of Hong Kong,0.0,0.0,96.93949077238553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
29,KAUST,0.0,0.0,203.73221500721493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
30,University of Waikato,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia
31,Cornell University,0.0,0.0,58.06522366522366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
32,TU Dresden,0.0,0.0,15.245238095238092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
33,LMU Munich,0.0,0.0,12.202380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
34,Zhejiang University,0.0,0.0,79.09404761904767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
35,Univ. of California - Los Angeles,0.0,0.0,55.88160173160176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
36,University of Washington,0.0,0.0,106.74682134673164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
37,Shenzhen University,0.0,0.0,13.38690476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
38,Heidelberg University,0.0,0.0,60.76323574086733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
39,Shanghai Jiao Tong University,0.0,0.0,43.05219363969368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
40,University of Texas at Austin,0.0,0.0,54.47247009526421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
41,Tianjin University,0.0,0.0,5.777813852813853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
42,Tsinghua University,0.0,0.0,66.6368700743701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
43,UESTC,0.0,0.0,28.39761904761903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
44,University of Malaya,0.0,0.0,4.330952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
45,Stanford University,0.0,0.0,211.0198746656866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
46,Nanyang Technological University,0.0,0.0,122.7216242538824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
47,University of Rochester,0.0,0.0,25.601623376623376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
48,HKUST,0.0,0.0,102.40551568314729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
49,University College London,0.0,0.0,34.63272005772003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
50,University of Bath,0.0,0.0,12.983333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
51,Hasso Plattner Institute,0.0,0.0,3.305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
52,Wuhan University,0.0,0.0,25.475829725829715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
53,University of Toronto,0.0,0.0,209.68764087614883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
54,IST Austria,0.0,0.0,20.729401154401152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
55,Georgia Institute of Technology,0.0,0.0,105.76779560308968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
56,Hebrew University of Jerusalem,0.0,0.0,97.13120110883274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
57,Tel Aviv University,0.0,0.0,150.53899711399706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
58,Lehigh University,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
59,Technion,0.0,0.0,138.12142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
60,New York University,0.0,0.0,141.44447862079448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
61,Northeastern University,0.0,0.0,43.58253968253969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
62,TTI Chicago,0.0,0.0,28.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
63,Univ. of Illinois at Urbana-Champaign,0.0,0.0,66.3772366522367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
64,Carnegie Mellon University,0.0,0.0,246.806782106782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
65,Sichuan University,0.0,0.0,4.057575757575757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
66,University of Bristol,0.0,0.0,13.146572871572872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
67,University of Pennsylvania,0.0,0.0,75.69667212268023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
68,UNSW,0.0,0.0,6.270634920634921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia
69,Rochester Institute of Technology,0.0,0.0,5.242857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
70,Australian National University,0.0,0.0,80.45873015873019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia
71,University of Melbourne,0.0,0.0,25.485714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia
72,Imperial College London,0.0,0.0,72.5195526695527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
73,USTC,0.0,0.0,5.079365079365078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
74,Concordia University,0.0,0.0,12.694047619047618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
75,University of Cambridge,0.0,0.0,13.637049062049062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
76,ETH Zurich,0.0,0.0,211.87627002627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
77,University of Freiburg,0.0,0.0,86.77463924963928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
78,University of Wisconsin - Madison,0.0,0.0,44.74105339105341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
79,Illinois Institute of Technology,0.0,0.0,0.8333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
80,Peking University,0.0,0.0,96.58443362193375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
81,University of North Carolina,0.0,0.0,66.0438852813853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
82,University of Tübingen,0.0,0.0,133.94484126984133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
83,National University of Singapore,0.0,0.0,55.09269480519483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
84,Harbin Institute of Technology,0.0,0.0,45.57217509193318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
85,Rice University,0.0,0.0,21.986580086580087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
86,West Virginia University,0.0,0.0,7.010714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
87,University of Surrey,0.0,0.0,53.193037518037535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
88,Korea University,0.0,0.0,32.27695209697497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
89,Stony Brook University,0.0,0.0,27.08809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
