Index,University,Artificial intelligence,Computer systems and networks,Cybersecurity,Databases and data mining,Digital Libraries,Human computer interaction,Machine Learning,Medical Image Computing,Natural Language Processing,Parallel Computing,Program Analysis,Programming Languages,Programming languages and verification,Vision and graphics
bs,0,0,0,0,0,0.6000000000000001,0,0,0,0,0,0,0,
8,Telecom ParisTech,0,0,0,0,0,0.4,0,0,0,0,0,0,0,
9,Max Planck Institute for Informatics and Saarland University,0,0,0,0,0,1.0,0,0,0,0,0,0,0,
10,Hasselt University,0,0,0,0,0,0.5,0,0,0,0,0,0,0,
11,Hasselt University-tUL-imec,0,0,0,0,0,0.25,0,0,0,0,0,0,0,
12,Hasselt University - tUL - Flanders Make,0,0,0,0,0,0.25,0,0,0,0,0,0,0,
13,Technische Universität Darmstadt,0,0,0,0,0,0.8333333333333333,0,0,0,0,0,0,0,
14,Max Planck Institute for Informatics,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,
15,UFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666
16,Institute of Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6000000000000001
17,Faculty of Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
18,Rey Juan Carlos University,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
19,Universidade Federal Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857142857142857
20,Universidade do Estado do Rio de Janeiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714
21,Lab. Nacional de Comp. Cientifica,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
22,Institute of Computing (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
23,University of B&#x00ED;o-B&#x00ED;o,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
24,University of Lagos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
25,Université de Montréal,0,0,0,0,0,0,0.875,0,0,0,0,0,0,
26,Let's Encrypt,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,
27,Cisco,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,
28,Stanford University,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,
29,Electronic Frontier Foundation,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,
30,University of Michigan,0,0,0.8666666666666667,0,0,0,0,0,0,0,0,0,0,
31,Mozilla,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,
32,San Jose State University,0,0,1.0,0,0,0,0,0,0,0,0,0,0,
33,CISPA,0,0,0,0,0,0,0,0,0,0,1.0,0,0,
34,National University of Singapore,0,0,0,0,0,0,0,0,0,0,1.0,0,0,
35,KAIST,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,
36,Boston University,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,
37,Goldsmiths University of London,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,
38,Humboldt University of Berlin,0,0,0,0,0,0,0,0,0,0,0.2,0,0,
39,CISPA Helmholtz Center,0,0,0,0,0,0,0,0,0,0,0.2,0,0,
40,Southern University of Science and Technology,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,0,
41,Zhejiang University,0,0,0.2,0,0,0,0,0,0,0,0.14285714285714285,0,0,
42,The University of Hong Kong,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,
43,University of Illinois,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,
44,Massachusetts Institute of Technology,0,0,0,0,0,0,0,0,0,0.25,0,0,0,
45,Carnegie Mellon University,0,0,0,0,0,0,0,0,0,1.2023809523809523,0,0,0,
46,MIT CSAIL,0,0,0,0.9999999999999999,0,0,0,0,0,0.9333333333333333,0,0,0,
47,Northwestern University,0.14285714285714285,1.0,0,0,0,0,0,0,0,0.2,0,0,0,
48,University of Maryland,0,0,0,0,0,0,0,0,0,0.5928571428571429,0,0,0,
49,University of California at Riverside,0,0,0,0,0,0,0,0,0,0.5,0,0,0,
50,Microsoft Research Lab India,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,
51,Safran Electronics &#x0026; Defense,0,0,1.0,0,0,0,0,0,0,0,0,0,0,
52,University of Louisiana at Lafayette,0,0,1.5000000000000002,0,0,0,0,0,0,0,0,0,0,
53,University of Louisiana - Lafayette,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,
54,MPI-SWS,0,0,0,0,0,0,0,0,0,0,0,0,1.916666666666667,
55,LRI,0,0,0,0,0,0,0,0,0,0,0,0,0.25,
56,Radboud University Nijmegen,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,
57,University of Cambridge,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,
58,Université Paris-Saclay - CNRS - ENS Paris-Saclay - Inria,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,
59,Saarland University,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,
60,Aarhus University,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,
61,Microsoft Research,0,0,0,0,0,0,0,0,0,0,0,0,0.2,
62,Seoul National University,0,0,0,0,0,0,0,0,0,0,0,0,0.4,
63,University of Utah,0,0,0,0,0,0,0,0,0,0,0,0,0.4,
64,MBZUAI,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,
65,Peking University,0,3.1071428571428563,0,0,0,0,0,0,0,0,0,0,0,
66,Stony Brook University,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,
67,Key Laboratory of High Confidence Software Technologies (Peking University),0,0.5,0,0,0,0,0,0,0,0,0,0,0,
68,School of Computer and Information Technology,0,0.25,0,0,0,0,0,0,0,0,0,0,0,
69,University of Texas at Austin,0,0.5,0,0,0,0,0,0,0,0,0,0,0,
70,Georgia Institute of Technology,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,
71,Pennsylvania State University,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,
72,Cornell University,0,1.0000000000000002,0,0,0,0,0,0,0,0,0,0,0,
73,University of Gavle,0,1.0,0,0,0,0,0,0,0,0,0,0,0,
74,Department of Computer Science and Engineering,0,0,0,0,0,0,0,1.0,0,0,0,0,0,
75,University of Salzburg,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,
76,University of North Carolina,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,
77,Nanyang Technological University,0,0,0,0,0,1.0,0,0,0,0,0,0,0,
78,Aarhus University in Aarhus,0,0,0,0,0,1.0,0,0,0,0,0,0,0,
79,City University of London,0,0,0,0,0,1.0,0,0,0,0,0,0,0,
80,Northeastern University,0,0,0,0,0,1.0,0,0,0,0,0,0,0,
81,University of Southern California,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,
82,University of Washington,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,
83,The Ohio State University,0.25,0,0,0,0,0,0,0,0,0,0,0,0,
84,Uppsala University,0.25,0,0,0,0,0,0,0,0,0,0,0,0,
85,Charles University,0.25,0,0,0,0,0,0,0,0,0,0,0,0,
86,Lucerne University of Applied Sciences,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,
87,L3S Research Center,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,
88,TIB - Leibniz Information Centre for Science and Technology,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,
89,Los Alamos National Lab. (LANL),0,0,0,0,0.4,0,0,0,0,0,0,0,0,
90,National and University Library in Zagreb (Croatia),0,0,0,0,0.4,0,0,0,0,0,0,0,0,
91,University of Zagreb University Computing Centre (Croatia),0,0,0,0,0.2,0,0,0,0,0,0,0,0,
92,Kyoto University,0,0,0,0,0.4,0,0,0,0,0,0,0,0,
93,University of Innsbruck,0,0,0,0,0.2,0,0,0,0,0,0,0,0,
94,AIST,0,0,0,0,0.2,0,0,0,0,0,0,0,0,
95,LIAAD - INESCTEC,0,0,0,0,0.2,0,0,0,0,0,0,0,0,
96,Shizuoka University,0,0,0,0,0.5,0,0,0,0,0,0,0,0,
97,University of Hyogo,0,0,0,0,0.5,0,0,0,0,0,0,0,0,
98,Toshiba Research and Development Center (Japan),0,0,0,0.5,0,0,0,0,0,0,0,0,0,
99,Toshiba Yanazicho Works (Japan),0,0,0,0.5,0,0,0,0,0,0,0,0,0,
100,Stanford,0,0,0,0.375,0,0,0,0,0,0,0,0,0,
101,MIT,0,0,0,0.5,0,0,0,0,0,0,0,0,0,
102,Google,0,0,0,0.0625,0,0,0,0,0,0,0,0.3333333333333333,0,
103,VMware,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,
104,University of Technology Sydney,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,
105,Australian National University,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,
