Rank,University,Artificial intelligence,Computer systems and networks,Cybersecurity,Databases and data mining,Digital Libraries,Human computer interaction,Machine Learning,Medical Image Computing,Natural Language Processing,Parallel Computing,Program Analysis,Programming Languages,Programming languages and verification,Vision and graphics
1,Georgia Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,National Institute of Technology Warangal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Istanbul Technical University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,VU Amsterdam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,University of Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,University of Massachusetts Lowell,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Carleton University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,University of Texas at Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,University of Texas at Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Rutgers University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Univ. of California - Santa Barbara,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,IIT Madras,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,University of Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,NTNU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,EPFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Univ. of California - San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Boston University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,National Institute of Technology Silchar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Rutgers University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,University of Houston,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,University of Cincinnati,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,University of Missouri - Kansas City,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,University of Maryland - College Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,University of Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Univ. of California - Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chalmers/GU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Western Sydney University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Rutgers University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Galatasaray University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Malmö University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,BUPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Chinese Academy of Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Loughborough University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Singapore Management University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,ShanghaiTech University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Cardiff University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,BUPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Columbia University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,UESTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,UESTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,IT University of Copenhagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Georgetown University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Univ. of California - Berkeley,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Monash University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,IIT Gandhinagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,University of Illinois at Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,University of Pittsburgh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,IIIT Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Stanford University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,University of Texas at Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,VU Amsterdam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,University of Texas at Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,National Institute of Technology Warangal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,IIT Madras,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Monash University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,IIT Roorkee,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Middlesex University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Middlesex University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,IIT Ropar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
