Index,University,Artificial Intelligence & Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
1,University of Montreal,176.2856171606171,0.0,269.86545815295807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
2,DTU,17.872619047619047,0.0,15.616666666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
3,University of Maryland - College Park,27.25358252858252,0.0,70.71374269005852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
4,Weizmann Institute of Science,41.54654377880185,0.0,101.55357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
5,Princeton University,130.4525980832584,0.0,94.01814574314578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
6,University of Western Australia,2.283333333333333,0.0,21.491269841269837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
7,Johns Hopkins University,42.55420655218609,0.0,62.478643578643606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
8,Trinity College Dublin,1.5666666666666667,0.0,3.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
9,University of Magdeburg,2.6511904761904757,0.0,9.392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
10,Univ. of California - Irvine,19.22936507936508,0.0,21.53059163059163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
11,University of Birmingham,3.148412698412698,0.0,28.169573890162123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
12,University of Göttingen,1.902380952380952,0.0,3.128968253968254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
13,EPFL,103.12548534092835,0.0,162.31444988184109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
14,Univ. of California - Berkeley,372.644684092697,0.0,451.00624572216657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
15,University of British Columbia,30.023408515799815,0.0,64.46673881673885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
16,University of Edinburgh,41.367460317460335,0.0,70.89755799755798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
17,University of Exeter,0.4,0.0,6.218290043290045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
18,University of Oxford,33.122817460317464,0.0,36.61867838044308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
19,University of Stuttgart,6.427777777777777,0.0,6.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
20,Simon Fraser University,18.350810300810295,0.0,104.93230519480527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
21,TU Munich,42.319480519480514,0.0,219.17633097896254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
22,California Institute of Technology,39.40515873015873,0.0,88.634126984127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
23,University of Catania,2.177272727272727,0.0,7.1136363636363615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
24,Massachusetts Institute of Technology,261.87075450652014,0.0,487.207753327991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
25,University of Amsterdam,73.56067323481116,0.0,81.25989565989568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
26,Ruhr-University Bochum,3.193939393939394,0.0,5.215151515151516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
27,University of Michigan,48.54319291819294,0.0,45.20454545454549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
28,Chinese University of Hong Kong,28.31154401154401,0.0,96.93949077238551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
29,KAUST,54.89047619047619,0.0,203.73221500721493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
30,University of Waikato,2.4333333333333336,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
31,Cornell University,69.6751370851371,0.0,58.06522366522366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
32,TU Dresden,4.0023809523809515,0.0,15.245238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
33,LMU Munich,18.150093370681606,0.0,12.202380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
34,Zhejiang University,17.28206349206349,0.0,79.09404761904767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
35,Univ. of California - Los Angeles,53.42553163211057,0.0,55.881601731601755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
