Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
1,University of Montreal,0.0,178.37715120128908,0.0,269.86545815295807,43.084632034632044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
2,DTU,0.0,18.20595238095238,0.0,15.616666666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
3,University of Maryland - College Park,0.0,27.396439671439662,0.0,70.71374269005852,11.552871148459383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
4,Weizmann Institute of Science,0.0,42.12987711213518,0.0,101.55357142857143,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
5,Princeton University,0.0,132.8787885594489,0.0,94.01814574314578,4.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
6,University of Western Australia,0.0,2.283333333333333,0.0,21.491269841269837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
7,Johns Hopkins University,0.0,43.38753988551942,0.0,62.478643578643606,17.630854744670533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
8,Trinity College Dublin,0.0,1.5666666666666667,0.0,3.4166666666666665,1.3766233766233766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
9,University of Magdeburg,0.0,2.6511904761904757,0.0,9.392857142857142,0.4242424242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
10,Univ. of California - Irvine,0.0,19.35436507936508,0.0,21.53059163059163,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
11,University of Birmingham,0.0,3.148412698412698,0.0,28.169573890162123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
12,University of Göttingen,0.0,1.902380952380952,0.0,3.128968253968254,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
13,EPFL,0.0,105.00282524240617,0.0,162.31444988184109,6.585714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
14,Univ. of California - Berkeley,0.0,378.85150913040434,0.0,451.00624572216657,15.788888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
15,University of British Columbia,0.0,30.773408515799815,0.0,64.46673881673885,4.033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
16,University of Edinburgh,0.0,42.45079365079367,0.0,70.89755799755798,35.043253968253964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
17,University of Exeter,0.0,0.4,0.0,6.218290043290045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
18,University of Oxford,0.0,33.32281746031747,0.0,36.61867838044308,4.6309523809523805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
19,University of Stuttgart,0.0,6.677777777777777,0.0,6.733333333333333,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
20,Simon Fraser University,0.0,18.493667443667437,0.0,104.93230519480527,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
