Index,University,Artificial Intelligence & Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
1,Shanghai Jiao Tong University,0.0,0.0,5.054108871250473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
2,University of Montreal,0.0,0.0,7.662557368677486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
3,Massachusetts Institute of Technology,0.0,0.0,19.2480916543333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
4,Carnegie Mellon University,0.0,0.0,23.755540686966516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
5,Stanford University,0.0,0.0,14.36972738953673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
6,Univ. of California - Berkeley,0.0,0.0,27.300412653862924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
7,Peking University,0.0,0.0,9.583403430433997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
8,New York University,0.0,0.0,12.572544137260026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
9,Simon Fraser University,0.0,0.0,4.819502283600266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
10,TU Munich,0.0,0.0,9.640958714906212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
11,ETH Zurich,0.0,0.0,6.608061947441311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
12,RWTH Aachen University,0.0,0.0,2.836996882086168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
13,Chinese Academy of Sciences,0.0,0.0,7.493160633858676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
14,University of Amsterdam,0.0,0.0,6.189147608967787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
15,Heidelberg University,0.0,0.0,1.5860252337849736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
16,Chinese University of Hong Kong,0.0,0.0,7.337767103471318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
17,KAIST,0.0,0.0,15.160727355757098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
18,Australian National University,0.0,0.0,5.738411753590321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
19,Technion,0.0,0.0,18.24181941295034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
20,Weizmann Institute of Science,0.0,0.0,7.605260770975054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
21,University of Bonn,0.0,0.0,2.803633786848071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
22,Nanjing University,0.0,0.0,4.955768455530358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
23,Nanyang Technological University,0.0,0.0,7.5076404420415175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
24,KAUST,0.0,0.0,6.120573979591835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
25,TU Darmstadt,0.0,0.0,3.7307838876291246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
26,CUHK (SZ),0.0,0.0,3.19635985837555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
27,Osaka University,0.0,0.0,1.491380385487528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
28,College of William and Mary,0.0,0.0,0.5269660178886362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
29,University of Surrey,0.0,0.0,6.3810693254957265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
30,Tianjin University,0.0,0.0,0.592969678229418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
31,Harbin Institute of Technology,0.0,0.0,4.682744967974942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
32,IST Austria,0.0,0.0,5.0700445081613905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
33,Seoul National University,0.0,0.0,15.003896863918479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
34,MBZUAI,0.0,0.0,5.978465884487853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
35,CISPA Helmholtz Center,0.0,0.0,2.554553616977858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
36,Ohio State University,0.0,0.0,2.7029081632653056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
37,University of Chicago,0.0,0.0,2.213356481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
38,National Cheng Kung University,0.0,0.0,0.7537345679012344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
39,Beihang University,0.0,0.0,1.3338109410430838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
40,Clemson University,0.0,0.0,0.7713235842240165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
41,George Mason University,0.0,0.0,0.8420156106519738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
42,Stony Brook University,0.0,0.0,4.285327853363565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
43,ShanghaiTech University,0.0,0.0,3.0798563869992415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
44,University of Toronto,0.0,0.0,11.17216841289622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
45,University of Massachusetts Amherst,0.0,0.0,8.344772297808007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
46,Graz University of Technology,0.0,0.0,5.083290816326529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
47,Univ. of California - Merced,0.0,0.0,0.5171459961395024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
48,University of Copenhagen,0.0,0.0,3.4180954307036555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
49,Tsinghua University,0.0,0.0,5.4117201506406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
50,Hebrew University of Jerusalem,0.0,0.0,14.235455820834597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
51,Princeton University,0.0,0.0,9.15575317049072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
52,University of North Carolina,0.0,0.0,5.181876417233558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
53,Bilkent University,0.0,0.0,0.5922222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
54,Georgia Institute of Technology,0.0,0.0,6.448986475633298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
55,Univ. of California - San Diego,0.0,0.0,18.267791933125746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
56,Imperial College London,0.0,0.0,5.800868764172331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
57,Xiamen University,0.0,0.0,2.273515054169813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
58,University of Bern,0.0,0.0,2.876736111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
59,University of Texas at Dallas,0.0,0.0,0.9916666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
60,University of Rochester,0.0,0.0,4.088594678229419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
61,University of Tübingen,0.0,0.0,8.237240646258496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
62,Brown University,0.0,0.0,6.500532215350554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
63,University of Washington,0.0,0.0,10.265063103577017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
64,University of Warwick,0.0,0.0,0.7617987739172802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
65,Tel Aviv University,0.0,0.0,12.85429390274627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
66,Bar-Ilan University,0.0,0.0,3.146610292265054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
67,Université Laval,0.0,0.0,0.7570833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
68,Singapore Management University,0.0,0.0,2.450123456790121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
69,University of Tokyo,0.0,0.0,7.306474395313675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
70,Northeastern University,0.0,0.0,5.144712773998486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
71,Univ. of California - Los Angeles,0.0,0.0,5.87285692942619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
72,Oregon State University,0.0,0.0,3.6315972222222213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
73,Sun Yat-sen University,0.0,0.0,3.9044559397833196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
74,University of Hong Kong,0.0,0.0,2.923529800426445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
75,HKUST,0.0,0.0,7.51761887973738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
76,University of Edinburgh,0.0,0.0,10.392054410960082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
77,University College London,0.0,0.0,5.412945889788419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
78,EPFL,0.0,0.0,19.85566807063203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
79,University of Pennsylvania,0.0,0.0,7.436928118492273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
