Faculty Name,University,Conference,Category,Score,Matched
Cewu Lu,Shanghai Jiao Tong University,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Yoshua Bengio,University of Montreal,CVPR,Computer Vision & Image Processing,0.015625,Yes
Phillip Isola,Massachusetts Institute of Technology,CVPR,Computer Vision & Image Processing,0.0625,Yes
Jun-Yan Zhu,Carnegie Mellon University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Chelsea Finn,Stanford University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Pieter Abbeel,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Sergey Levine,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Hongbin Zha,Peking University,CVPR,Computer Vision & Image Processing,0.04,Yes
Kyunghyun Cho,New York University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Song-Chun Zhu,Peking University,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Manolis Savva,Simon Fraser University,CVPR,Computer Vision & Image Processing,0.04,Yes
Pat Hanrahan,Stanford University,CVPR,Computer Vision & Image Processing,0.04,Yes
Matthias Nießner,TU Munich,CVPR,Computer Vision & Image Processing,0.04,Yes
Daniel Cremers,TU Munich,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Luc Van Gool,ETH Zurich,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Bastian Leibe,RWTH Aachen University,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Weiming Hu,Chinese Academy of Sciences,CVPR,Computer Vision & Image Processing,0.04,Yes
Kaiming He,Massachusetts Institute of Technology,CVPR,Computer Vision & Image Processing,0.0625,Yes
Joan Bruna,New York University,CVPR,Computer Vision & Image Processing,0.04,Yes
Max Welling,University of Amsterdam,CVPR,Computer Vision & Image Processing,0.0625,Yes
Carsten Rother,Heidelberg University,CVPR,Computer Vision & Image Processing,0.04,Yes
Xiaoou Tang,Chinese University of Hong Kong,CVPR,Computer Vision & Image Processing,0.04,Yes
Tae-Hyun Oh,KAIST,CVPR,Computer Vision & Image Processing,0.04,Yes
Wojciech Matusik,Massachusetts Institute of Technology,CVPR,Computer Vision & Image Processing,0.04,Yes
Robert E. Mahony,Australian National University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Haggai Maron,Technion,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Yaron Lipman,Weizmann Institute of Science,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Sven Behnke,University of Bonn,CVPR,Computer Vision & Image Processing,0.0204081632653061,Yes
Jürgen Gall,University of Bonn,CVPR,Computer Vision & Image Processing,0.0204081632653061,Yes
Jitendra Malik,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Han-Jia Ye,Nanjing University,CVPR,Computer Vision & Image Processing,0.25,Yes
De-Chuan Zhan,Nanjing University,CVPR,Computer Vision & Image Processing,0.25,Yes
Ziwei Liu 0002,Nanyang Technological University,CVPR,Computer Vision & Image Processing,0.25,Yes
Mohamed Elhoseiny,KAUST,CVPR,Computer Vision & Image Processing,0.04,Yes
Marcus Rohrbach,TU Darmstadt,CVPR,Computer Vision & Image Processing,0.04,Yes
Guanying Chen,CUHK (SZ),CVPR,Computer Vision & Image Processing,0.04,Yes
Boxin Shi,Peking University,CVPR,Computer Vision & Image Processing,0.04,Yes
Yasuyuki Matsushita,Osaka University,CVPR,Computer Vision & Image Processing,0.04,Yes
Pieter Peers,College of William and Mary,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Josef Kittler,University of Surrey,CVPR,Computer Vision & Image Processing,0.04,Yes
Shiguang Shan,Chinese Academy of Sciences,CVPR,Computer Vision & Image Processing,0.04,Yes
Qinghua Hu,Tianjin University,CVPR,Computer Vision & Image Processing,0.04,Yes
Wangmeng Zuo,Harbin Institute of Technology,CVPR,Computer Vision & Image Processing,0.04,Yes
Bernd Bickel,IST Austria,CVPR,Computer Vision & Image Processing,0.04,Yes
Markus H. Gross,ETH Zurich,CVPR,Computer Vision & Image Processing,0.04,Yes
Jaesik Park,Seoul National University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Ian Reid 0001,MBZUAI,CVPR,Computer Vision & Image Processing,0.0204081632653061,Yes
Adam Dziedzic,CISPA Helmholtz Center,CVPR,Computer Vision & Image Processing,0.04,Yes
John Paparrizos,Ohio State University,CVPR,Computer Vision & Image Processing,0.04,Yes
Sanjay Krishnan,University of Chicago,CVPR,Computer Vision & Image Processing,0.04,Yes
Aaron J. Elmore,University of Chicago,CVPR,Computer Vision & Image Processing,0.04,Yes
Michael J. Franklin,University of Chicago,CVPR,Computer Vision & Image Processing,0.04,Yes
Chia-Yen Lee,National Cheng Kung University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Xingxing Wei,Beihang University,CVPR,Computer Vision & Image Processing,0.04,Yes
Nianyi Li,Clemson University,CVPR,Computer Vision & Image Processing,0.04,Yes
Jinwei Ye,George Mason University,CVPR,Computer Vision & Image Processing,0.04,Yes
Haibin Ling,Stony Brook University,CVPR,Computer Vision & Image Processing,0.04,Yes
Jingyi Yu,ShanghaiTech University,CVPR,Computer Vision & Image Processing,0.04,Yes
Qingming Huang,Chinese Academy of Sciences,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Nicolas Papernot,University of Toronto,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Colin Raffel,University of Toronto,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Subhransu Maji,University of Massachusetts Amherst,CVPR,Computer Vision & Image Processing,0.04,Yes
Thomas Pock,Graz University of Technology,CVPR,Computer Vision & Image Processing,0.04,Yes
Horst Bischof,Graz University of Technology,CVPR,Computer Vision & Image Processing,0.04,Yes
Ming-Hsuan Yang 0001,Univ. of California - Merced,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Serge J. Belongie,University of Copenhagen,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Yair Weiss,Hebrew University of Jerusalem,CVPR,Computer Vision & Image Processing,0.25,Yes
Jimmy Ba,University of Toronto,CVPR,Computer Vision & Image Processing,0.25,Yes
Adam Finkelstein,Princeton University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Leonard McMillan,University of North Carolina,CVPR,Computer Vision & Image Processing,0.04,Yes
Aysegul Dundar,Bilkent University,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Animesh Garg,Georgia Institute of Technology,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Manmohan Chandraker,Univ. of California - San Diego,CVPR,Computer Vision & Image Processing,0.04,Yes
Stefanos Zafeiriou,Imperial College London,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Rongrong Ji,Xiamen University,CVPR,Computer Vision & Image Processing,0.015625,Yes
Paolo Favaro,University of Bern,CVPR,Computer Vision & Image Processing,0.25,Yes
Yapeng Tian,University of Texas at Dallas,CVPR,Computer Vision & Image Processing,0.04,Yes
Chenliang Xu,University of Rochester,CVPR,Computer Vision & Image Processing,0.25,Yes
Hilde Kuehne,University of Tübingen,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Thomas Serre,Brown University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Zsolt Kira,Georgia Institute of Technology,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Brian Curless,University of Washington,CVPR,Computer Vision & Image Processing,0.0625,Yes
Dacheng Tao,Nanyang Technological University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Stefan Roth 0001,TU Darmstadt,CVPR,Computer Vision & Image Processing,0.0625,Yes
Jianfeng Feng,University of Warwick,CVPR,Computer Vision & Image Processing,0.015625,Yes
Shai Avidan,Tel Aviv University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Michael Lindenbaum,Technion,CVPR,Computer Vision & Image Processing,0.0625,Yes
Jacob Goldberger,Bar-Ilan University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Baoquan Chen,Peking University,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Ioannis Mitliagkas,University of Montreal,CVPR,Computer Vision & Image Processing,0.0625,Yes
Leonidas J. Guibas,Stanford University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Pascal Germain,Université Laval,CVPR,Computer Vision & Image Processing,0.015625,Yes
Mario Marchand,Université Laval,CVPR,Computer Vision & Image Processing,0.015625,Yes
Mingsheng Long,Tsinghua University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Chong-Wah Ngo,Singapore Management University,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Yoshitaka Ushiku,University of Tokyo,CVPR,Computer Vision & Image Processing,0.0625,Yes
Tatsuya Harada,University of Tokyo,CVPR,Computer Vision & Image Processing,0.0625,Yes
Tieniu Tan,Chinese Academy of Sciences,CVPR,Computer Vision & Image Processing,0.0625,Yes
David Bau,Northeastern University,CVPR,Computer Vision & Image Processing,0.0204081632653061,Yes
Bolei Zhou,Univ. of California - Los Angeles,CVPR,Computer Vision & Image Processing,0.0204081632653061,Yes
William T. Freeman,Massachusetts Institute of Technology,CVPR,Computer Vision & Image Processing,0.0204081632653061,Yes
Antonio Torralba 0001,Massachusetts Institute of Technology,CVPR,Computer Vision & Image Processing,0.0204081632653061,Yes
Hu Han 0001,Chinese Academy of Sciences,CVPR,Computer Vision & Image Processing,0.0625,Yes
Xilin Chen 0001,Chinese Academy of Sciences,CVPR,Computer Vision & Image Processing,0.0625,Yes
Nuno Vasconcelos,Univ. of California - San Diego,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Mirela Ben-Chen,Technion,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Craig Gotsman,Technion,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Rana Hanocka,University of Chicago,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Raja Giryes,Tel Aviv University,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Daniel Cohen-Or,Tel Aviv University,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Fuxin Li,Oregon State University,CVPR,Computer Vision & Image Processing,0.04,Yes
Guanbin Li,Sun Yat-sen University,CVPR,Computer Vision & Image Processing,0.25,Yes
Yizhou Yu,University of Hong Kong,CVPR,Computer Vision & Image Processing,0.25,Yes
Jiaya Jia,HKUST,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Shijian Lu,Nanyang Technological University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Matthias Bethge,University of Tübingen,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Oisin Mac Aodha,University of Edinburgh,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Gabriel J. Brostow,University College London,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Ameet Talwalkar,Carnegie Mellon University,CVPR,Computer Vision & Image Processing,0.25,Yes
Martin Jaggi,EPFL,CVPR,Computer Vision & Image Processing,0.04,Yes
Mathieu Salzmann,EPFL,CVPR,Computer Vision & Image Processing,0.04,Yes
Gedas Bertasius,University of North Carolina,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Jianbo Shi,University of Pennsylvania,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
