Full Name, Normalized Score
Yiu Cheung Shiu,0.25
Shaheen Ahmad,0.25
Yoshua Bengio,0.1111111111111111
Aaron Courville,0.1111111111111111
Pascal Vincent,0.1111111111111111
Emily Denton,0.25
Rob Fergus,0.25
Deng-Ping Fan,0.027777777777777776
Ming-Ming Cheng,0.027777777777777776
Jiang-Jiang Liu,0.027777777777777776
Shang- Hua Gao,0.027777777777777776
Qibin Hou,0.027777777777777776
Ali Borji,0.027777777777777776
Irina Higgins,0.015625
Lo ¨ıc Matthey,0.015625
Arka Pal,0.015625
Christopher Burgess,0.015625
Xavier Glorot,0.015625
Matthew M Botvinick,0.015625
Shakir Mohamed,0.015625
Alexander Lerchner,0.015625
Olivier Chapelle,0.1111111111111111
Bernhard Scholkopf,0.1111111111111111
Alexander Zien,0.1111111111111111
Yuri Boykov,0.25
Gareth Funka-Lea,0.25
Marie-Pierre Jolly,0.25
Ignacio Arganda-Carreras,0.02040816326530612
Verena Kaynig,0.02040816326530612
Curtis Rueden,0.02040816326530612
Kevin W Eliceiri,0.02040816326530612
Johannes Schindelin,0.02040816326530612
Albert Cardona,0.02040816326530612
H Sebastian Seung,0.02040816326530612
Ondrej Chum,0.04
James Philbin,0.04
Josef Sivic,0.04
Michael Isard,0.04
Andrew Zisserman,0.04
Author1,0.1111111111111111
Author2,0.1111111111111111
Author3,0.1111111111111111
Xinchen Liu,0.0625
Wu Liu,0.0625
Huadong Ma,0.0625
Huiyuan Fu,0.0625
Yan Bai,0.027777777777777776
Yihang Lou,0.027777777777777776
Feng Gao,0.027777777777777776
Shiqi Wang,0.027777777777777776
Yuwei Wu,0.027777777777777776
Ling-Yu Duan,0.027777777777777776
Ruihang Chu,0.027777777777777776
Yifan Sun,0.027777777777777776
Yadong Li,0.027777777777777776
Zheng Liu,0.027777777777777776
Chi Zhang,0.027777777777777776
Yichen Wei,0.027777777777777776
Lawrence O Gostin,0.1111111111111111
Laura A Levit,0.1111111111111111
Sharyl J Nass,0.1111111111111111
Bargav Jayaraman,0.0625
Lingxiao Wang,0.0625
David Evans,0.0625
Quan- quan Gu,0.0625
Justin Johnson,0.1111111111111111
Alexandre Alahi,0.1111111111111111
Li Fei-Fei,0.1111111111111111
Diederik P Kingma,0.25
Jimmy Ba,0.25
Jakub Kone ˇcn`y,0.027777777777777776
H Brendan McMahan,0.027777777777777776
Felix X Yu,0.027777777777777776
Peter Richt ´arik,0.027777777777777776
Ananda Theertha Suresh,0.027777777777777776
Dave Bacon,0.027777777777777776
Ruichu Cai,0.027777777777777776
Zijian Li,0.027777777777777776
Pengfei Wei,0.027777777777777776
Jie Qiao,0.027777777777777776
Kun Zhang,0.027777777777777776
Zhifeng Hao,0.027777777777777776
Mingsheng Long,0.0625
Yue Cao,0.0625
Jianmin Wang,0.0625
Michael I Jordan,0.0625
Alexander M Bronstein,0.04
Michael M Bronstein,0.04
Ron Kimmel,0.04
Mona Mahmoudi,0.04
Guillermo Sapiro,0.04
Chen-Yu Lee,0.0625
Tanmay Batra,0.0625
Mohammad Haris Baig,0.0625
Daniel Ulbricht,0.0625
Arthur Gretton,0.027777777777777776
Alex Smola,0.027777777777777776
Jiayuan Huang,0.027777777777777776
Marcel Schmit-tfull,0.027777777777777776
Karsten Borgwardt,0.027777777777777776
Jia-Ren Chang,0.25
Yong-Sheng Chen,0.25
Heiko Hirschmueller,1.0
Bee Lim,0.04
Sanghyun Son,0.04
Heewon Kim,0.04
Seungjun Nah,0.04
Kyoung Mu Lee,0.04
Saumil S Patel,0.027777777777777776
Michael T Ukwade,0.027777777777777776
Scott B Stevenson,0.027777777777777776
Harold E Bedell,0.027777777777777776
Vanitha Sampath,0.027777777777777776
Haluk Ogmen,0.027777777777777776
Olaf Ronneberger,0.1111111111111111
Philipp Fischer,0.1111111111111111
Thomas Brox,0.1111111111111111
Adji B Dieng,0.0625
Francisco JR Ruiz,0.0625
David M Blei,0.0625
Michalis K Titsias,0.0625
Arnab Ghosh,0.04
Viveka Kulharia,0.04
Vinay P Namboodiri,0.04
Philip HS Torr,0.04
Puneet K Dokania,0.04
Ishaan Gulrajani,0.04
Faruk Ahmed,0.04
Martin Arjovsky,0.04
Vincen-t Dumoulin,0.04
Aaron C Courville,0.04
Martin Heusel,0.04
Hubert Ramsauer,0.04
Thomas Unterthiner,0.04
Bernhard Nessler,0.04
Sepp Hochreiter,0.04
