Index,University,Artificial Intelligence & Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
14,Univ. of California - Berkeley,352.37222632170983,0.0,451.00624572216657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
24,Massachusetts Institute of Technology,250.85315364333104,0.0,487.207753327991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
64,Carnegie Mellon University,218.08237079592595,0.0,246.806782106782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
1,University of Montreal,167.30758685758684,0.0,269.86545815295807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
45,Stanford University,157.21616617457073,0.0,211.0198746656866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
92,Univ. of California - San Diego,148.57227050727047,0.0,258.1462856587856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
60,New York University,127.36984126984127,0.0,141.44447862079448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
5,Princeton University,123.3597409404013,0.0,94.01814574314578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
59,Technion,115.76082949308751,0.0,138.12142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
53,University of Toronto,107.41735769311984,0.0,209.68764087614883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
13,EPFL,100.28977105521406,0.0,162.31444988184109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
57,Tel Aviv University,86.34714285714288,0.0,150.53899711399706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
280,University of Alberta,78.24689754689753,0.0,8.527380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
200,Harvard University,77.48453146011195,0.0,34.09137806637804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
36,University of Washington,76.02694438180886,0.0,106.74682134673164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
25,University of Amsterdam,72.69285714285715,0.0,81.25989565989568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
31,Cornell University,67.19894660894663,0.0,58.06522366522366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
195,Columbia University,59.47777777777778,0.0,49.48444976076557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
56,Hebrew University of Jerusalem,58.607611832611845,0.0,97.13120110883274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
55,Georgia Institute of Technology,57.429264696656034,0.0,105.76779560308968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
29,KAUST,51.08095238095238,0.0,203.73221500721493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
35,Univ. of California - Los Angeles,50.408864965443904,0.0,55.88160173160176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
208,Ecole Normale Superieure,49.41477591036414,0.0,27.552380952380947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
62,TTI Chicago,47.909074155978175,0.0,28.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
27,University of Michigan,46.2003357753358,0.0,45.20454545454549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
158,University of Massachusetts Amherst,44.47564006042267,0.0,51.68375603864734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
