Index,University,Artificial Intelligence & Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
24,Massachusetts Institute of Technology,0.0,0.0,475.0637806340183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
14,Univ. of California - Berkeley,0.0,0.0,424.2409138318347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
1,University of Montreal,0.0,0.0,257.2078823953823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
65,Carnegie Mellon University,0.0,0.0,235.22788600288595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
93,Univ. of California - San Diego,0.0,0.0,218.71299811299795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
21,TU Munich,0.0,0.0,215.25089807852964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
54,University of Toronto,0.0,0.0,204.9335283220363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
77,ETH Zurich,0.0,0.0,204.9025363525363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
29,KAUST,0.0,0.0,201.8646825396825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
45,Stanford University,0.0,0.0,192.41373497204697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
13,EPFL,0.0,0.0,159.54987556726675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
58,Tel Aviv University,0.0,0.0,146.33383838383833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
60,Technion,0.0,0.0,136.68809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
61,New York University,0.0,0.0,132.2821770334929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
83,University of Tübingen,0.0,0.0,128.75198412698413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
92,Seoul National University,0.0,0.0,128.71709956709967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
46,Nanyang Technological University,0.0,0.0,119.38273536499352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
100,KAIST,0.0,0.0,115.70753968253976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
121,POSTECH,0.0,0.0,111.5964285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
140,University of Würzburg,0.0,0.0,110.21273448773448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
110,Czech Technical University,0.0,0.0,103.232445740534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
56,Georgia Institute of Technology,0.0,0.0,102.39355317884728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
36,University of Washington,0.0,0.0,101.74135306948918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
48,HKUST,0.0,0.0,100.82099187362346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
20,Simon Fraser University,0.0,0.0,100.72865190365196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
4,Weizmann Institute of Science,0.0,0.0,100.60357142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
28,Chinese University of Hong Kong,0.0,0.0,95.31330029619504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
57,Hebrew University of Jerusalem,0.0,0.0,94.67918090681252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
167,Cardiff University,0.0,0.0,93.77976190476193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
5,Princeton University,0.0,0.0,90.7825396825397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
81,Peking University,0.0,0.0,90.41578282828294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
22,California Institute of Technology,0.0,0.0,87.18968253968255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
78,University of Freiburg,0.0,0.0,86.58373015873019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
99,MBZUAI,0.0,0.0,80.65482618267242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
116,TU Darmstadt,0.0,0.0,80.41904761904763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
71,Australian National University,0.0,0.0,79.2448412698413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
25,University of Amsterdam,0.0,0.0,78.99878454878457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
34,Zhejiang University,0.0,0.0,78.50515873015878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
68,University of Pennsylvania,0.0,0.0,73.36561151661962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
126,University of Adelaide,0.0,0.0,72.00818903318907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
73,Imperial College London,0.0,0.0,70.5429292929293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
52,University of Massachusetts Amherst,0.0,0.0,70.47500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
3,University of Maryland - College Park,0.0,0.0,70.2554093567252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
16,University of Edinburgh,0.0,0.0,68.76898656898656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
64,Univ. of Illinois at Urbana-Champaign,0.0,0.0,64.61208513708517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
82,University of North Carolina,0.0,0.0,63.70714285714288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
15,University of British Columbia,0.0,0.0,62.29249639249643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
38,Heidelberg University,0.0,0.0,59.09656907420066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
117,Chinese Academy of Sciences,0.0,0.0,58.66209211935024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
31,Cornell University,0.0,0.0,57.11522366522368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
42,Tsinghua University,0.0,0.0,56.48813131313134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
35,Univ. of California - Los Angeles,0.0,0.0,54.70418470418472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
84,National University of Singapore,0.0,0.0,54.592694805194846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
7,Johns Hopkins University,0.0,0.0,53.44626623376626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
125,Sun Yat-sen University,0.0,0.0,52.46904761904765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
40,University of Texas at Austin,0.0,0.0,52.13653103432515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
88,University of Surrey,0.0,0.0,52.07788600288602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
168,University of Tokyo,0.0,0.0,48.24722222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
194,Columbia University,0.0,0.0,46.90111642743224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
